CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKAMBUJACEM24-FEB-2026,530.5000000,529.9000000,539.1000000,525.3500000,537.9500000,537.9500000,1.4000000,45526.0000000,4281900.0000000,4078.0000000,2290831620.0000000
FUTSTKAMBUJACEM28-APR-2026,536.4500000,537.1000000,545.0000000,537.1000000,543.7500000,543.7500000,1.3600000,77.0000000,27300.0000000,26.0000000,14747197.5000000
FUTSTKAMBUJACEM30-MAR-2026,533.6000000,531.4500000,542.0500000,531.4000000,540.8500000,540.8500000,1.3500000,848.0000000,235200.0000000,224.0000000,126530932.5000000
FUTSTKASTRAL24-FEB-2026,1500.9000000,1503.0000000,1515.4000000,1488.5000000,1506.7000000,1506.7000000,0.3800000,16025.0000000,1213375.0000000,2855.0000000,1821743630.0000000
FUTSTKASTRAL30-MAR-2026,1488.8000000,1479.8000000,1507.0000000,1479.4000000,1499.0000000,1499.0000000,0.6800000,722.0000000,218025.0000000,513.0000000,324657160.0000000
FUTSTKASTRAL28-APR-2026,1486.0000000,1485.0000000,1502.0000000,1480.0000000,1502.0000000,1520.3000000,2.3000000,47.0000000,11050.0000000,26.0000000,16412225.0000000
FUTSTKBANKBARODA28-APR-2026,289.3000000,287.6000000,296.6000000,287.6000000,295.4000000,295.4000000,2.1000000,191.0000000,207675.0000000,71.0000000,60773895.0000000
FUTSTKBANKBARODA24-FEB-2026,285.7500000,285.0000000,293.0500000,282.5000000,291.5500000,291.5500000,2.0200000,28565.0000000,19369350.0000000,6622.0000000,5591146860.0000000
FUTSTKBANKBARODA30-MAR-2026,287.5500000,286.2000000,294.8500000,284.7000000,293.3000000,293.3000000,1.9900000,949.0000000,927225.0000000,317.0000000,269913003.7500000
FUTSTKCDSL30-MAR-2026,1338.6000000,1336.0000000,1374.4000000,1324.2000000,1369.8000000,1369.8000000,2.3300000,2970.0000000,807500.0000000,1700.0000000,1087931972.5000000
FUTSTKCDSL24-FEB-2026,1340.3000000,1348.0000000,1375.0000000,1327.2000000,1370.2000000,1370.2000000,2.2300000,18515.0000000,3054725.0000000,6431.0000000,4133026917.5000000
FUTSTKCDSL28-APR-2026,1339.2000000,1346.9000000,1371.0000000,1327.5000000,1368.4000000,1368.4000000,2.1800000,252.0000000,72675.0000000,153.0000000,98213660.0000000
FUTSTKFORTIS28-APR-2026,874.1500000,872.1000000,877.9000000,872.0000000,872.0000000,872.0000000,-0.2400000,9.0000000,3100.0000000,4.0000000,2707927.5000000
FUTSTKFORTIS24-FEB-2026,866.6000000,863.0500000,872.8500000,857.3000000,863.4500000,863.4500000,-0.3600000,14955.0000000,1368650.0000000,1766.0000000,1185041340.0000000
FUTSTKFORTIS30-MAR-2026,872.8000000,868.5500000,878.3500000,865.0500000,867.5500000,867.5500000,-0.6000000,172.0000000,43400.0000000,56.0000000,37772531.2500000
FUTSTKHAL28-APR-2026,4511.5000000,4475.0000000,4475.0000000,4200.0000000,4260.7000000,4260.7000000,-5.5500000,1085.0000000,124650.0000000,831.0000000,530257080.0000000
FUTSTKHAL30-MAR-2026,4492.5000000,4411.6000000,4411.6000000,4101.1000000,4233.3000000,4233.3000000,-5.7600000,5367.0000000,595650.0000000,3971.0000000,2515417035.0000000
FUTSTKHAL24-FEB-2026,4465.4000000,4325.0000000,4380.0000000,4071.5000000,4207.8000000,4207.8000000,-5.7600000,61219.0000000,5391750.0000000,35945.0000000,22629424155.0000000
FUTSTKHCLTECH30-MAR-2026,1709.9000000,1660.4000000,1660.4000000,1598.0000000,1635.4000000,1635.4000000,-4.3500000,1478.0000000,406350.0000000,1161.0000000,658141190.0000000
FUTSTKHCLTECH28-APR-2026,1713.7000000,1630.0000000,1643.2000000,1607.2000000,1638.3000000,1638.3000000,-4.3900000,183.0000000,65450.0000000,187.0000000,106302000.0000000
FUTSTKHCLTECH24-FEB-2026,1700.0000000,1622.0000000,1640.0000000,1586.2000000,1624.8000000,1624.8000000,-4.4200000,48580.0000000,7914200.0000000,22612.0000000,12737306645.0000000
FUTSTKHDFCLIFE24-FEB-2026,722.8500000,724.3500000,729.3500000,716.4500000,725.9500000,725.9500000,0.4200000,30735.0000000,3661900.0000000,3329.0000000,2653819410.0000000
FUTSTKHDFCLIFE28-APR-2026,733.4000000,735.0000000,736.2000000,729.8000000,734.0000000,734.0000000,0.0800000,35.0000000,9900.0000000,9.0000000,7260605.0000000
FUTSTKHDFCLIFE30-MAR-2026,727.5000000,723.9000000,734.0500000,723.9000000,730.5500000,730.5500000,0.4100000,667.0000000,240900.0000000,219.0000000,175597565.0000000
FUTSTKIDFCFIRSTB28-APR-2026,86.2300000,85.7700000,86.6300000,85.3300000,86.5700000,86.5700000,0.3900000,152.0000000,491575.0000000,53.0000000,42186410.0000000
FUTSTKIDFCFIRSTB30-MAR-2026,85.6800000,85.1400000,86.1100000,84.8000000,85.9800000,85.9800000,0.3500000,1836.0000000,3710000.0000000,400.0000000,317333551.5000000
FUTSTKIDFCFIRSTB24-FEB-2026,85.1600000,85.1600000,85.6400000,84.2100000,85.4800000,85.4800000,0.3700000,28697.0000000,50595125.0000000,5455.0000000,4300988809.2500000
FUTSTKINFY28-APR-2026,1683.8000000,1599.3000000,1604.2000000,1530.5000000,1556.6000000,1556.6000000,-7.5500000,967.0000000,558800.0000000,1397.0000000,870577040.0000000
FUTSTKINFY30-MAR-2026,1673.7000000,1598.3000000,1598.3000000,1520.8000000,1547.1000000,1547.1000000,-7.5600000,7905.0000000,3247200.0000000,8118.0000000,5031085280.0000000
FUTSTKINFY24-FEB-2026,1662.9000000,1581.0000000,1588.3000000,1511.2000000,1537.9000000,1537.9000000,-7.5100000,169325.0000000,31930400.0000000,79826.0000000,49233013560.0000000
FUTSTKIRFC28-APR-2026,113.6900000,113.7500000,115.6000000,113.3000000,115.4000000,115.4000000,1.5000000,359.0000000,488750.0000000,115.0000000,55981850.0000000
FUTSTKIRFC24-FEB-2026,115.1200000,115.0300000,116.9400000,114.3800000,116.4300000,116.4300000,1.1300000,15581.0000000,15729250.0000000,3701.0000000,1825944415.0000000
FUTSTKIRFC30-MAR-2026,113.8800000,113.8500000,116.0000000,113.1400000,115.5100000,115.5100000,1.4300000,1926.0000000,4581500.0000000,1078.0000000,526726087.5000000
FUTSTKITC30-MAR-2026,319.8500000,314.8000000,317.7500000,314.8000000,316.2500000,316.2500000,-1.1200000,9430.0000000,2603200.0000000,1627.0000000,823653600.0000000
FUTSTKITC28-APR-2026,321.7500000,318.0000000,319.9500000,317.3000000,318.4000000,318.4000000,-1.0400000,1218.0000000,571200.0000000,357.0000000,182082240.0000000
FUTSTKITC24-FEB-2026,317.8000000,313.2000000,315.8000000,312.1500000,314.5000000,314.5000000,-1.0300000,121613.0000000,15560000.0000000,9725.0000000,4893050960.0000000
FUTSTKNUVAMA30-MAR-2026,1363.2000000,1354.8000000,1394.9000000,1354.8000000,1392.4000000,1392.4000000,2.1400000,162.0000000,30500.0000000,61.0000000,42016250.0000000
FUTSTKNUVAMA28-APR-2026,1370.0000000,1380.0000000,1390.0000000,1370.0000000,1390.0000000,1409.4000000,2.8700000,12.0000000,3000.0000000,6.0000000,4142500.0000000
FUTSTKNUVAMA24-FEB-2026,1366.1000000,1359.0000000,1396.5000000,1347.1000000,1393.3000000,1393.3000000,1.9900000,4052.0000000,704500.0000000,1409.0000000,970140300.0000000
FUTSTKPNBHOUSING28-APR-2026,839.2500000,840.0000000,859.4500000,840.0000000,859.1000000,860.8000000,2.5600000,34.0000000,3900.0000000,6.0000000,3326212.5000000
FUTSTKPNBHOUSING24-FEB-2026,825.7000000,824.6000000,854.7000000,822.1500000,852.0500000,852.0500000,3.1900000,22057.0000000,1998750.0000000,3075.0000000,1685131890.0000000
FUTSTKPNBHOUSING30-MAR-2026,830.7000000,830.0500000,859.1000000,830.0000000,857.5000000,857.5000000,3.2200000,285.0000000,72800.0000000,112.0000000,61677590.0000000
FUTSTKPOLICYBZR24-FEB-2026,1468.3000000,1459.9000000,1464.3000000,1427.0000000,1446.9000000,1446.9000000,-1.4500000,23225.0000000,4585000.0000000,13100.0000000,6618216255.0000000
FUTSTKPOLICYBZR28-APR-2026,1487.2000000,1459.0000000,1467.3000000,1443.7000000,1462.6000000,1462.6000000,-1.6500000,62.0000000,8750.0000000,25.0000000,12764885.0000000
FUTSTKPOLICYBZR30-MAR-2026,1473.4000000,1461.0000000,1470.0000000,1434.2000000,1454.6000000,1454.6000000,-1.2700000,679.0000000,147000.0000000,420.0000000,213355870.0000000
FUTSTKBHARTIARTL28-APR-2026,2023.6000000,2036.1000000,2057.5000000,2036.1000000,2054.2000000,2054.2000000,1.5100000,111.0000000,6175.0000000,13.0000000,12667727.5000000
FUTSTKBHARTIARTL24-FEB-2026,1999.2000000,2003.0000000,2037.8000000,1999.3000000,2031.0000000,2031.0000000,1.5900000,102173.0000000,7470800.0000000,15728.0000000,15130756922.5000000
FUTSTKBHARTIARTL30-MAR-2026,2010.0000000,2012.9000000,2047.1000000,2012.9000000,2040.6000000,2040.6000000,1.5200000,9666.0000000,1491975.0000000,3141.0000000,3039092322.5000000
FUTSTKCOALINDIA28-APR-2026,429.6500000,435.4500000,442.2500000,434.3000000,436.1500000,436.1500000,1.5100000,200.0000000,118800.0000000,88.0000000,52127415.0000000
FUTSTKCOALINDIA24-FEB-2026,424.7500000,425.3000000,437.5000000,423.5000000,431.8000000,431.8000000,1.6500000,32819.0000000,15287400.0000000,11324.0000000,6615281475.0000000
