time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,342.55,345.0,333.0,333.3,333.3,12000,10000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,325.2,341.3,323.9,338.15,338.15,14000,7000,0.0,0.0,16.67,16.67,2,4.85
1770112800,0.0,353.45,355.15,347.75,350.0,350.0,17000,15000,0.0,0.0,21.43,21.43,3,11.85
1770199200,0.0,348.5,351.5,345.9,349.05,349.05,23000,18000,0.0,0.0,35.29,35.29,6,-0.95
1770285600,0.0,342.45,347.0,338.1,347.0,347.0,22000,8000,0.0,0.0,-4.35,-4.35,-1,-2.05
1770372000,0.0,347.25,351.1,339.0,350.55,350.55,17000,14000,0.0,0.0,-22.73,-22.73,-5,3.55
1770631200,0.0,355.55,358.0,354.85,355.55,355.55,16000,10000,0.0,0.0,-5.88,-5.88,-1,5.0
1770717600,0.0,352.0,358.65,352.0,358.65,358.65,22000,14000,0.0,0.0,37.5,37.5,6,3.1
1770804000,0.0,355.0,355.0,345.05,346.65,346.65,36000,21000,0.0,0.0,63.64,63.64,14,-12.0
1770890400,0.0,344.6,348.55,344.0,344.0,344.0,40000,12000,0.0,0.0,11.11,11.11,4,-2.65
1770976800,0.0,341.65,342.25,338.0,338.0,338.0,46000,11000,0.0,0.0,15.0,15.0,6,-6.0
1771236000,0.0,339.65,348.55,339.6,348.2,348.2,49000,12000,0.0,0.0,6.52,6.52,3,10.2
1771322400,0.0,348.2,352.55,347.55,351.95,351.95,50000,14000,0.0,0.0,2.04,2.04,1,3.75
1771408800,0.0,353.5,353.75,351.95,352.9,352.9,49000,13000,0.0,0.0,-2.0,-2.0,-1,0.95
1771495200,0.0,352.4,352.4,346.1,346.4,346.4,43000,13000,0.0,0.0,-12.24,-12.24,-6,-6.5
1771581600,0.0,343.8,348.65,341.0,347.1,347.1,45000,16000,0.0,0.0,4.65,4.65,2,0.7
