time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1464.0,1482.0,1360.7,1394.4,1394.4,13000,24000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1420.0,1454.3,1408.0,1452.6,1452.6,27000,37000,0.0,0.0,107.69,107.69,14,58.2
1770112800,0.0,1575.2,1596.9,1550.0,1554.8,1554.8,49000,74000,0.0,0.0,81.48,81.48,22,102.2
1770199200,0.0,1564.6,1609.5,1564.6,1605.8,1605.8,47000,41000,0.0,0.0,-4.08,-4.08,-2,51.0
1770285600,0.0,1605.8,1612.3,1577.9,1595.6,1595.6,51000,31000,0.0,0.0,8.51,8.51,4,-10.2
1770372000,0.0,1580.0,1580.0,1560.0,1572.3,1572.3,49000,25000,0.0,0.0,-3.92,-3.92,-2,-23.3
1770631200,0.0,1608.0,1610.8,1603.5,1607.5,1607.5,45000,9000,0.0,0.0,-8.16,-8.16,-4,35.2
1770717600,0.0,1608.4,1629.6,1608.4,1627.6,1627.6,45000,26000,0.0,0.0,0.0,0.0,0,20.1
1770804000,0.0,1625.0,1697.5,1625.0,1689.2,1689.2,53000,39000,0.0,0.0,17.78,17.78,8,61.6
1770890400,0.0,1682.4,1765.3,1645.0,1745.4,1745.4,66000,105000,0.0,0.0,24.53,24.53,13,56.2
1770976800,0.0,1747.0,1788.0,1740.0,1753.3,1753.3,82000,52000,0.0,0.0,24.24,24.24,16,7.9
1771236000,0.0,1772.2,1772.2,1738.4,1746.9,1746.9,88000,28000,0.0,0.0,7.32,7.32,6,-6.4
1771322400,0.0,1748.0,1780.0,1745.0,1766.0,1766.0,89000,23000,0.0,0.0,1.14,1.14,1,19.1
1771408800,0.0,1778.0,1794.0,1771.2,1786.9,1786.9,91000,33000,0.0,0.0,2.25,2.25,2,20.9
1771495200,0.0,1815.0,1815.0,1769.0,1769.0,1769.0,98000,24000,0.0,0.0,7.69,7.69,7,-17.9
1771581600,0.0,1779.6,1794.7,1777.2,1792.8,1792.8,94000,26000,0.0,0.0,-4.08,-4.08,-4,23.8
