time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,2795.0,2800.0,2408.0,2600.6,2600.6,225000,478000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,2590.0,2739.6,2554.9,2733.6,2733.6,210000,156000,0.0,0.0,-6.67,-6.67,-15,133.0
1770112800,0.0,2890.0,2940.0,2823.9,2894.6,2894.6,184000,163000,0.0,0.0,-12.38,-12.38,-26,161.0
1770199200,0.0,2919.5,2948.0,2839.2,2937.2,2937.2,205000,170000,0.0,0.0,11.41,11.41,21,42.6
1770285600,0.0,2918.9,2934.5,2874.9,2928.8,2928.8,228000,69000,0.0,0.0,11.22,11.22,23,-8.4
1770372000,0.0,2890.8,2944.0,2866.5,2927.7,2927.7,262000,122000,0.0,0.0,14.91,14.91,34,-1.1
1770631200,0.0,2963.7,3030.0,2963.7,3022.5,3022.5,290000,146000,0.0,0.0,10.69,10.69,28,94.8
1770717600,0.0,3138.4,3225.5,3100.3,3217.8,3217.8,439000,519000,0.0,0.0,51.38,51.38,149,195.3
1770804000,0.0,3217.0,3259.1,3178.4,3213.7,3213.7,463000,190000,0.0,0.0,5.47,5.47,24,-4.1
1770890400,0.0,3211.0,3211.0,3178.0,3183.2,3183.2,475000,61000,0.0,0.0,2.59,2.59,12,-30.5
1770976800,0.0,3172.3,3172.3,3060.0,3063.8,3063.8,533000,249000,0.0,0.0,12.21,12.21,58,-119.4
1771236000,0.0,2857.8,2867.4,2763.5,2843.8,2843.8,646000,493000,0.0,0.0,21.2,21.2,113,-220.0
1771322400,0.0,2821.6,2831.9,2763.2,2784.1,2784.1,687000,184000,0.0,0.0,6.35,6.35,41,-59.7
1771408800,0.0,2812.0,2859.0,2811.1,2855.8,2855.8,696000,170000,0.0,0.0,1.31,1.31,9,71.7
1771495200,0.0,2860.0,2864.5,2760.0,2764.9,2764.9,728000,295000,0.0,0.0,4.6,4.6,32,-90.9
1771581600,0.0,2770.0,2808.8,2750.0,2767.8,2767.8,756000,162000,0.0,0.0,3.85,3.85,28,2.9
