time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,147.0,150.0,140.0,141.62,141.62,250000,180000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,141.32,148.49,140.55,148.09,148.09,250000,97000,0.0,0.0,0.0,0.0,0,6.47
1770112800,0.0,155.0,156.55,148.9,148.97,148.97,265000,79000,0.0,0.0,6.0,6.0,15,0.88
1770199200,0.0,148.35,149.6,147.58,149.31,149.31,283000,61000,0.0,0.0,6.79,6.79,18,0.34
1770285600,0.0,150.3,150.9,149.54,150.07,150.07,288000,45000,0.0,0.0,1.77,1.77,5,0.76
1770372000,0.0,150.07,150.07,146.61,149.12,149.12,323000,67000,0.0,0.0,12.15,12.15,35,-0.95
1770631200,0.0,151.0,152.0,149.35,149.89,149.89,328000,103000,0.0,0.0,1.55,1.55,5,0.77
1770717600,0.0,148.98,149.5,148.5,148.75,148.75,349000,39000,0.0,0.0,6.4,6.4,21,-1.14
1770804000,0.0,148.38,148.38,146.0,147.52,147.52,388000,111000,0.0,0.0,11.17,11.17,39,-1.23
1770890400,0.0,147.52,147.52,145.5,146.51,146.51,424000,67000,0.0,0.0,9.28,9.28,36,-1.01
1770976800,0.0,145.5,145.5,143.33,143.63,143.63,450000,64000,0.0,0.0,6.13,6.13,26,-2.88
1771236000,0.0,142.61,147.81,142.43,147.52,147.52,436000,106000,0.0,0.0,-3.11,-3.11,-14,3.89
1771322400,0.0,146.39,151.45,146.39,150.63,150.63,444000,164000,0.0,0.0,1.83,1.83,8,3.11
1771408800,0.0,150.8,154.22,150.8,153.26,153.26,409000,204000,0.0,0.0,-7.88,-7.88,-35,2.63
1771495200,0.0,153.1,153.89,150.26,150.81,150.81,408000,182000,0.0,0.0,-0.24,-0.24,-1,-2.45
1771581600,0.0,151.74,155.99,151.74,155.36,155.36,383000,309000,0.0,0.0,-6.13,-6.13,-25,4.55
