time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1300.4,1314.0,1286.4,1295.7,1295.7,32000,25000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1281.8,1300.0,1270.0,1300.0,1300.0,38000,17000,0.0,0.0,18.75,18.75,6,4.3
1770112800,0.0,1339.5,1352.0,1334.6,1335.7,1335.7,35000,31000,0.0,0.0,-7.89,-7.89,-3,35.7
1770199200,0.0,1345.0,1379.2,1345.0,1362.2,1362.2,41000,35000,0.0,0.0,17.14,17.14,6,26.5
1770285600,0.0,1361.5,1368.3,1352.4,1367.8,1367.8,45000,11000,0.0,0.0,9.76,9.76,4,5.6
1770372000,0.0,1367.7,1369.0,1350.0,1368.3,1368.3,44000,13000,0.0,0.0,-2.22,-2.22,-1,0.5
1770631200,0.0,1381.9,1393.7,1368.0,1386.5,1386.5,53000,25000,0.0,0.0,20.45,20.45,9,18.2
1770717600,0.0,1398.9,1405.0,1388.0,1388.5,1388.5,58000,27000,0.0,0.0,9.43,9.43,5,2.0
1770804000,0.0,1388.0,1403.0,1388.0,1401.3,1401.3,56000,15000,0.0,0.0,-3.45,-3.45,-2,12.8
1770890400,0.0,1395.6,1420.0,1395.1,1417.6,1417.6,46000,22000,0.0,0.0,-17.86,-17.86,-10,16.3
1770976800,0.0,1409.8,1432.1,1399.0,1417.4,1417.4,52000,19000,0.0,0.0,13.04,13.04,6,-0.2
1771236000,0.0,1421.5,1439.9,1419.1,1438.5,1438.5,56000,21000,0.0,0.0,7.69,7.69,4,21.1
1771322400,0.0,1446.2,1455.6,1446.0,1451.0,1451.0,61000,14000,0.0,0.0,8.93,8.93,5,12.5
1771408800,0.0,1457.5,1457.5,1445.9,1449.0,1449.0,65000,15000,0.0,0.0,6.56,6.56,4,-2.0
1771495200,0.0,1448.4,1454.0,1412.0,1414.5,1414.5,96000,50000,0.0,0.0,47.69,47.69,31,-34.5
1771581600,0.0,1418.8,1432.0,1417.9,1428.4,1428.4,103000,20000,0.0,0.0,7.29,7.29,7,13.9
