time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,428.45,439.95,409.7,436.3,436.3,21000,34000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,436.3,460.0,436.3,458.55,458.55,33000,44000,0.0,0.0,57.14,57.14,12,22.25
1770112800,0.0,466.0,466.0,451.2,458.2,458.2,61000,47000,0.0,0.0,84.85,84.85,28,-0.35
1770199200,0.0,458.0,469.8,458.0,466.4,466.4,46000,59000,0.0,0.0,-24.59,-24.59,-15,8.2
1770285600,0.0,471.6,478.0,464.35,465.0,465.0,48000,19000,0.0,0.0,4.35,4.35,2,-1.4
1770372000,0.0,471.0,472.5,467.9,469.4,469.4,46000,27000,0.0,0.0,-4.17,-4.17,-2,4.4
1770631200,0.0,469.4,470.3,468.3,469.05,469.05,50000,10000,0.0,0.0,8.7,8.7,4,-0.35
1770717600,0.0,463.85,467.9,463.85,466.2,466.2,56000,10000,0.0,0.0,12.0,12.0,6,-2.85
1770804000,0.0,469.05,471.45,465.0,466.0,466.0,62000,17000,0.0,0.0,10.71,10.71,6,-0.2
1770890400,0.0,466.0,466.0,453.85,454.85,454.85,69000,18000,0.0,0.0,11.29,11.29,7,-11.15
1770976800,0.0,456.9,459.25,455.5,456.75,456.75,81000,24000,0.0,0.0,17.39,17.39,12,1.9
1771236000,0.0,452.55,458.0,452.5,458.0,458.0,81000,7000,0.0,0.0,0.0,0.0,0,1.25
1771322400,0.0,454.0,459.6,450.2,459.1,459.1,83000,20000,0.0,0.0,2.47,2.47,2,1.1
1771408800,0.0,459.1,463.0,459.1,463.0,463.0,86000,19000,0.0,0.0,3.61,3.61,3,3.9
1771495200,0.0,457.0,457.0,437.55,440.3,440.3,123000,75000,0.0,0.0,43.02,43.02,37,-22.7
1771581600,0.0,434.85,438.8,432.15,436.5,436.5,159000,87000,0.0,0.0,29.27,29.27,36,-3.8
