time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,966.5,966.5,966.5,949.0,949.0,33000,5000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,896.0,925.2,879.0,920.0,920.0,50000,34000,0.0,0.0,51.52,51.52,17,-29.0
1770112800,0.0,990.0,997.0,976.0,991.4,991.4,70000,44000,0.0,0.0,40.0,40.0,20,71.4
1770199200,0.0,980.0,990.0,968.5,990.0,990.0,74000,17000,0.0,0.0,5.71,5.71,4,-1.4
1770285600,0.0,970.0,973.8,950.0,965.0,965.0,96000,31000,0.0,0.0,29.73,29.73,22,-25.0
1770372000,0.0,965.0,965.0,920.0,931.9,931.9,113000,49000,0.0,0.0,17.71,17.71,17,-33.1
1770631200,0.0,956.0,969.0,951.6,969.0,969.0,110000,25000,0.0,0.0,-2.65,-2.65,-3,37.1
1770717600,0.0,971.6,1003.4,971.6,1003.4,1003.4,113000,55000,0.0,0.0,2.73,2.73,3,34.4
1770804000,0.0,1000.0,1000.0,980.0,980.8,980.8,140000,38000,0.0,0.0,23.89,23.89,27,-22.6
1770890400,0.0,965.0,965.0,931.0,933.4,933.4,213000,102000,0.0,0.0,52.14,52.14,73,-47.4
1770976800,0.0,945.0,945.0,908.9,925.1,925.1,252000,65000,0.0,0.0,18.31,18.31,39,-8.3
1771236000,0.0,929.7,996.2,929.7,967.9,967.9,227000,95000,0.0,0.0,-9.92,-9.92,-25,42.8
1771322400,0.0,999.0,1017.0,980.0,998.8,998.8,219000,57000,0.0,0.0,-3.52,-3.52,-8,30.9
1771408800,0.0,998.8,1004.4,985.7,1002.2,1002.2,227000,32000,0.0,0.0,3.65,3.65,8,3.4
1771495200,0.0,1001.0,1003.0,980.2,984.1,984.1,214000,67000,0.0,0.0,-5.73,-5.73,-13,-18.1
1771581600,0.0,999.3,1012.5,991.7,999.7,999.7,195000,55000,0.0,0.0,-8.88,-8.88,-19,15.6
