time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,283.45,284.65,277.0,278.25,278.25,46000,24000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,272.0,277.65,269.05,276.75,276.75,57000,36000,0.0,0.0,23.91,23.91,11,-1.5
1770112800,0.0,291.9,292.25,283.6,284.6,284.6,68000,41000,0.0,0.0,19.3,19.3,11,7.85
1770199200,0.0,286.6,288.95,284.9,285.0,285.0,71000,28000,0.0,0.0,4.41,4.41,3,0.4
1770285600,0.0,281.75,283.8,278.25,283.8,283.8,74000,17000,0.0,0.0,4.23,4.23,3,-1.2
1770372000,0.0,280.0,286.3,275.5,286.15,286.15,77000,21000,0.0,0.0,4.05,4.05,3,2.35
1770631200,0.0,289.75,296.6,289.55,296.4,296.4,78000,59000,0.0,0.0,1.3,1.3,1,10.25
1770717600,0.0,294.7,296.5,291.65,293.1,293.1,110000,83000,0.0,0.0,41.03,41.03,32,-3.3
1770804000,0.0,293.1,293.1,286.0,287.25,287.25,141000,63000,0.0,0.0,28.18,28.18,31,-5.85
1770890400,0.0,286.7,290.85,285.8,290.25,290.25,140000,32000,0.0,0.0,-0.71,-0.71,-1,3.0
1770976800,0.0,284.5,285.8,282.0,283.7,283.7,142000,24000,0.0,0.0,1.43,1.43,2,-6.55
1771236000,0.0,285.0,295.0,284.95,293.7,293.7,141000,93000,0.0,0.0,-0.7,-0.7,-1,10.0
1771322400,0.0,293.4,298.0,292.7,297.65,297.65,139000,30000,0.0,0.0,-1.42,-1.42,-2,3.95
1771408800,0.0,298.55,302.05,298.25,300.05,300.05,146000,72000,0.0,0.0,5.04,5.04,7,2.4
1771495200,0.0,300.2,300.5,293.35,293.7,293.7,161000,73000,0.0,0.0,10.27,10.27,15,-6.35
1771581600,0.0,294.0,298.2,294.0,295.95,295.95,184000,78000,0.0,0.0,14.29,14.29,23,2.25
