time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,311.1,320.9,301.0,311.45,311.45,33000,30000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,307.7,310.0,302.25,305.75,305.75,64000,60000,0.0,0.0,93.94,93.94,31,-5.7
1770112800,0.0,321.2,321.2,312.3,314.85,314.85,77000,34000,0.0,0.0,20.31,20.31,13,9.1
1770199200,0.0,312.1,320.95,311.1,320.3,320.3,75000,22000,0.0,0.0,-2.6,-2.6,-2,5.45
1770285600,0.0,317.5,321.4,312.5,319.0,319.0,77000,21000,0.0,0.0,2.67,2.67,2,-1.3
1770372000,0.0,318.6,318.6,311.6,315.2,315.2,80000,11000,0.0,0.0,3.9,3.9,3,-3.8
1770631200,0.0,320.7,331.65,318.6,331.35,331.35,73000,23000,0.0,0.0,-8.75,-8.75,-7,16.15
1770717600,0.0,331.7,352.0,331.7,350.55,350.55,107000,133000,0.0,0.0,46.58,46.58,34,19.2
1770804000,0.0,347.0,347.0,336.6,338.6,338.6,120000,28000,0.0,0.0,12.15,12.15,13,-11.95
1770890400,0.0,327.8,333.95,326.4,333.95,333.95,129000,12000,0.0,0.0,7.5,7.5,9,-4.65
1770976800,0.0,330.9,334.0,324.8,331.65,331.65,130000,14000,0.0,0.0,0.78,0.78,1,-2.3
1771236000,0.0,331.65,337.7,331.65,337.7,337.7,129000,12000,0.0,0.0,-0.77,-0.77,-1,6.05
1771322400,0.0,329.0,329.05,325.5,326.35,326.35,148000,24000,0.0,0.0,14.73,14.73,19,-11.35
1771408800,0.0,331.0,331.0,326.0,329.0,329.0,174000,33000,0.0,0.0,17.57,17.57,26,2.65
1771495200,0.0,328.45,331.95,321.55,321.85,321.85,230000,93000,0.0,0.0,32.18,32.18,56,-7.15
1771581600,0.0,321.85,322.35,318.9,319.15,319.15,244000,45000,0.0,0.0,6.09,6.09,14,-2.7
