time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,371.3,376.5,358.4,359.65,359.65,174000,153000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,358.9,365.0,354.35,364.55,364.55,189000,57000,0.0,0.0,8.62,8.62,15,4.9
1770112800,0.0,375.35,375.35,370.1,370.55,370.55,206000,95000,0.0,0.0,8.99,8.99,17,6.0
1770199200,0.0,372.35,378.0,372.35,377.4,377.4,221000,65000,0.0,0.0,7.28,7.28,15,6.85
1770285600,0.0,368.2,372.0,366.2,370.15,370.15,271000,127000,0.0,0.0,22.62,22.62,50,-7.25
1770372000,0.0,369.5,372.0,366.65,371.4,371.4,265000,45000,0.0,0.0,-2.21,-2.21,-6,1.25
1770631200,0.0,373.25,373.95,371.5,373.7,373.7,267000,48000,0.0,0.0,0.75,0.75,2,2.3
1770717600,0.0,374.0,376.15,373.5,375.65,375.65,279000,28000,0.0,0.0,4.49,4.49,12,1.95
1770804000,0.0,376.25,382.55,371.95,381.55,381.55,307000,95000,0.0,0.0,10.04,10.04,28,5.9
1770890400,0.0,381.55,386.65,377.5,385.7,385.7,374000,162000,0.0,0.0,21.82,21.82,67,4.15
1770976800,0.0,381.85,382.75,376.55,379.1,379.1,409000,87000,0.0,0.0,9.36,9.36,35,-6.6
1771236000,0.0,379.2,388.5,379.2,387.8,387.8,404000,122000,0.0,0.0,-1.22,-1.22,-5,8.7
1771322400,0.0,387.85,389.15,383.0,383.3,383.3,442000,117000,0.0,0.0,9.41,9.41,38,-4.5
1771408800,0.0,386.0,387.0,383.5,384.15,384.15,463000,64000,0.0,0.0,4.75,4.75,21,0.85
1771495200,0.0,385.15,386.25,372.7,373.65,373.65,596000,233000,0.0,0.0,28.73,28.73,133,-10.5
1771581600,0.0,374.35,383.9,374.35,382.85,382.85,616000,145000,0.0,0.0,3.36,3.36,20,9.2
