time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,657.0,659.9,642.0,646.95,646.95,44000,30000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,643.0,649.45,642.0,649.45,649.45,47000,11000,0.0,0.0,6.82,6.82,3,2.5
1770112800,0.0,666.5,672.65,662.5,668.1,668.1,39000,28000,0.0,0.0,-17.02,-17.02,-8,18.65
1770199200,0.0,655.1,657.85,650.0,657.6,657.6,67000,43000,0.0,0.0,71.79,71.79,28,-10.5
1770285600,0.0,661.8,661.8,648.0,650.25,650.25,81000,21000,0.0,0.0,20.9,20.9,14,-7.35
1770372000,0.0,643.2,643.25,617.95,624.05,624.05,176000,159000,0.0,0.0,117.28,117.28,95,-26.2
1770631200,0.0,629.15,629.15,625.0,625.85,625.85,266000,117000,0.0,0.0,51.14,51.14,90,1.8
1770717600,0.0,626.0,642.0,626.0,637.5,637.5,237000,101000,0.0,0.0,-10.9,-10.9,-29,11.65
1770804000,0.0,638.1,638.1,629.8,633.0,633.0,306000,99000,0.0,0.0,29.11,29.11,69,-4.5
1770890400,0.0,633.0,633.0,616.85,618.65,618.65,417000,263000,0.0,0.0,36.27,36.27,111,-14.35
1770976800,0.0,604.0,608.05,578.95,607.1,607.1,460000,310000,0.0,0.0,10.31,10.31,43,-11.55
1771236000,0.0,603.0,605.3,598.6,604.7,604.7,535000,115000,0.0,0.0,16.3,16.3,75,-2.4
1771322400,0.0,605.05,619.75,605.05,610.4,610.4,524000,82000,0.0,0.0,-2.06,-2.06,-11,5.7
1771408800,0.0,609.7,612.25,606.4,611.7,611.7,545000,54000,0.0,0.0,4.01,4.01,21,1.3
1771495200,0.0,616.0,616.0,606.3,608.2,608.2,601000,120000,0.0,0.0,10.28,10.28,56,-3.5
1771581600,0.0,607.0,615.75,606.35,611.25,611.25,645000,109000,0.0,0.0,7.32,7.32,44,3.05
