time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,2370.0,2400.0,2366.0,2370.0,2370.0,5000,6000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,2337.7,2337.8,2310.9,2310.9,2310.9,10000,5000,0.0,0.0,100.0,100.0,5,-59.1
1770112800,0.0,2490.0,2570.0,2490.0,2542.5,2542.5,12000,8000,0.0,0.0,20.0,20.0,2,231.6
1770199200,0.0,2553.6,2681.4,2546.4,2678.2,2678.2,16000,10000,0.0,0.0,33.33,33.33,4,135.7
1770285600,0.0,2549.2,2549.2,2388.6,2410.2,2410.2,62000,77000,0.0,0.0,287.5,287.5,46,-268.0
1770372000,0.0,2370.6,2370.6,2300.0,2338.2,2338.2,90000,48000,0.0,0.0,45.16,45.16,28,-72.0
1770631200,0.0,2378.7,2412.0,2368.6,2394.8,2394.8,86000,27000,0.0,0.0,-4.44,-4.44,-4,56.6
1770717600,0.0,2425.9,2484.2,2425.9,2478.3,2478.3,76000,29000,0.0,0.0,-11.63,-11.63,-10,83.5
1770804000,0.0,2500.0,2502.0,2470.0,2478.8,2478.8,71000,15000,0.0,0.0,-6.58,-6.58,-5,0.5
1770890400,0.0,2500.0,2545.2,2496.0,2544.0,2544.0,75000,21000,0.0,0.0,5.63,5.63,4,65.2
1770976800,0.0,2536.0,2536.0,2536.0,2536.0,2536.0,74000,1000,0.0,0.0,-1.33,-1.33,-1,-8.0
1771236000,0.0,2542.1,2546.0,2527.0,2534.5,2534.5,78000,7000,0.0,0.0,5.41,5.41,4,-1.5
1771322400,0.0,2512.0,2535.4,2467.5,2484.0,2484.0,94000,34000,0.0,0.0,20.51,20.51,16,-50.5
1771408800,0.0,2477.6,2505.0,2463.6,2502.2,2502.2,101000,11000,0.0,0.0,7.45,7.45,7,18.2
1771495200,0.0,2514.2,2546.0,2502.0,2507.3,2507.3,102000,18000,0.0,0.0,0.99,0.99,1,5.1
1771581600,0.0,2516.2,2616.3,2516.2,2610.7,2610.7,97000,66000,0.0,0.0,-4.9,-4.9,-5,103.4
