time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,4034.3,4184.1,3955.0,4066.9,4066.9,31000,57000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,3993.0,4024.0,3965.0,4019.2,4019.2,44000,29000,0.0,0.0,41.94,41.94,13,-47.7
1770112800,0.0,4150.0,4165.0,4118.0,4125.5,4125.5,59000,50000,0.0,0.0,34.09,34.09,15,106.3
1770199200,0.0,4164.0,4216.0,4164.0,4201.5,4201.5,102000,69000,0.0,0.0,72.88,72.88,43,76.0
1770285600,0.0,4175.0,4176.4,4135.5,4160.5,4160.5,105000,22000,0.0,0.0,2.94,2.94,3,-41.0
1770372000,0.0,4160.5,4205.0,4125.0,4192.0,4192.0,112000,55000,0.0,0.0,6.67,6.67,7,31.5
1770631200,0.0,4221.9,4330.7,4220.1,4325.1,4325.1,157000,78000,0.0,0.0,40.18,40.18,45,133.1
1770717600,0.0,4342.0,4384.1,4295.0,4337.4,4337.4,227000,137000,0.0,0.0,44.59,44.59,70,12.3
1770804000,0.0,4385.6,4442.2,4273.9,4303.9,4303.9,294000,277000,0.0,0.0,29.52,29.52,67,-33.5
1770890400,0.0,4276.5,4342.5,4240.0,4339.9,4339.9,307000,86000,0.0,0.0,4.42,4.42,13,36.0
1770976800,0.0,4329.3,4329.3,4233.8,4240.9,4240.9,317000,50000,0.0,0.0,3.26,3.26,10,-99.0
1771236000,0.0,4203.9,4246.9,4200.5,4241.3,4241.3,359000,113000,0.0,0.0,13.25,13.25,42,0.4
1771322400,0.0,4222.2,4300.0,4220.0,4290.6,4290.6,385000,78000,0.0,0.0,7.24,7.24,26,49.3
1771408800,0.0,4290.6,4304.0,4276.8,4297.2,4297.2,385000,35000,0.0,0.0,0.0,0.0,0,6.6
1771495200,0.0,4297.2,4309.4,4247.9,4251.8,4251.8,387000,41000,0.0,0.0,0.52,0.52,2,-45.4
1771581600,0.0,4283.5,4300.0,4263.0,4289.9,4289.9,391000,41000,0.0,0.0,1.03,1.03,4,38.1
