time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,3700.0,3735.0,3581.6,3620.0,3620.0,44000,28000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,3631.4,3680.0,3599.2,3679.0,3679.0,63000,26000,0.0,0.0,43.18,43.18,19,59.0
1770112800,0.0,3770.0,3795.0,3740.0,3760.6,3760.6,52000,73000,0.0,0.0,-17.46,-17.46,-11,81.6
1770199200,0.0,3759.0,3794.0,3759.0,3770.0,3770.0,61000,17000,0.0,0.0,17.31,17.31,9,9.4
1770285600,0.0,3740.0,3777.0,3738.0,3777.0,3777.0,59000,10000,0.0,0.0,-3.28,-3.28,-2,7.0
1770372000,0.0,3725.4,3806.2,3715.0,3791.8,3791.8,66000,29000,0.0,0.0,11.86,11.86,7,14.8
1770631200,0.0,3775.5,3805.9,3760.0,3799.9,3799.9,69000,25000,0.0,0.0,4.55,4.55,3,8.1
1770717600,0.0,3799.9,3810.3,3791.3,3809.2,3809.2,72000,15000,0.0,0.0,4.35,4.35,3,9.3
1770804000,0.0,3835.6,3921.0,3835.0,3896.9,3896.9,78000,64000,0.0,0.0,8.33,8.33,6,87.7
1770890400,0.0,3905.0,3930.0,3898.0,3910.4,3910.4,81000,22000,0.0,0.0,3.85,3.85,3,13.5
1770976800,0.0,3895.8,3920.0,3870.0,3897.5,3897.5,86000,31000,0.0,0.0,6.17,6.17,5,-12.9
1771236000,0.0,3896.0,3896.0,3848.5,3854.0,3854.0,98000,45000,0.0,0.0,13.95,13.95,12,-43.5
1771322400,0.0,3863.0,3915.0,3857.3,3911.6,3911.6,109000,44000,0.0,0.0,11.22,11.22,11,57.6
1771408800,0.0,3917.3,3918.0,3894.0,3911.1,3911.1,114000,14000,0.0,0.0,4.59,4.59,5,-0.5
1771495200,0.0,3913.3,3925.0,3855.7,3857.6,3857.6,115000,71000,0.0,0.0,0.88,0.88,1,-53.5
1771581600,0.0,3850.3,3852.9,3832.1,3850.3,3850.3,106000,54000,0.0,0.0,-7.83,-7.83,-9,-7.3
