time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,180.0,183.17,170.37,171.82,171.82,62000,63000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,173.51,174.29,169.0,173.45,173.45,73000,33000,0.0,0.0,17.74,17.74,11,1.63
1770112800,0.0,179.96,184.68,174.91,177.02,177.02,86000,35000,0.0,0.0,17.81,17.81,13,3.57
1770199200,0.0,178.0,179.17,177.31,178.07,178.07,80000,18000,0.0,0.0,-6.98,-6.98,-6,1.05
1770285600,0.0,179.49,181.5,179.2,180.61,180.61,82000,35000,0.0,0.0,2.5,2.5,2,2.54
1770372000,0.0,179.17,180.85,177.4,180.84,180.84,81000,10000,0.0,0.0,-1.22,-1.22,-1,0.23
1770631200,0.0,183.0,184.45,182.02,182.18,182.18,86000,49000,0.0,0.0,6.17,6.17,5,1.34
1770717600,0.0,180.7,181.92,180.2,181.5,181.5,103000,29000,0.0,0.0,19.77,19.77,17,-0.68
1770804000,0.0,180.8,182.8,178.5,182.63,182.63,115000,28000,0.0,0.0,11.65,11.65,12,1.13
1770890400,0.0,182.08,184.5,181.04,183.9,183.9,131000,48000,0.0,0.0,13.91,13.91,16,1.27
1770976800,0.0,182.4,182.4,180.6,180.87,180.87,137000,39000,0.0,0.0,4.58,4.58,6,-3.03
1771236000,0.0,179.2,186.54,178.5,185.86,185.86,134000,54000,0.0,0.0,-2.19,-2.19,-3,4.99
1771322400,0.0,185.75,191.9,184.25,190.99,190.99,150000,133000,0.0,0.0,11.94,11.94,16,5.13
1771408800,0.0,192.98,196.0,191.9,194.85,194.85,167000,118000,0.0,0.0,11.33,11.33,17,3.86
1771495200,0.0,196.0,197.17,191.05,191.65,191.65,173000,99000,0.0,0.0,3.59,3.59,6,-3.2
1771581600,0.0,193.94,196.2,193.5,195.43,195.43,199000,144000,0.0,0.0,15.03,15.03,26,3.78
