time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1340.7,1354.7,1337.9,1352.5,1352.5,5000,6000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1353.9,1363.5,1353.9,1363.5,1363.5,5000,2000,0.0,0.0,0.0,0.0,0,11.0
1770112800,0.0,1377.0,1381.4,1377.0,1381.4,1381.4,7000,3000,0.0,0.0,40.0,40.0,2,17.9
1770199200,0.0,1388.0,1394.1,1380.0,1380.0,1380.0,15000,9000,0.0,0.0,114.29,114.29,8,-1.4
1770285600,0.0,1384.4,1386.5,1380.0,1380.8,1380.8,18000,7000,0.0,0.0,20.0,20.0,3,0.8
1770372000,0.0,1386.0,1394.0,1386.0,1394.0,1394.0,18000,3000,0.0,0.0,0.0,0.0,0,13.2
1770631200,0.0,1389.0,1430.0,1386.3,1428.6,1428.6,26000,32000,0.0,0.0,44.44,44.44,8,34.6
1770717600,0.0,1424.9,1428.6,1424.9,1428.6,1428.6,28000,4000,0.0,0.0,7.69,7.69,2,0.0
1770804000,0.0,1435.0,1435.0,1420.1,1426.7,1426.7,42000,21000,0.0,0.0,50.0,50.0,14,-1.9
1770890400,0.0,1430.0,1441.0,1430.0,1432.0,1432.0,42000,5000,0.0,0.0,0.0,0.0,0,5.3
1770976800,0.0,1425.0,1435.0,1422.0,1425.3,1425.3,43000,7000,0.0,0.0,2.38,2.38,1,-6.7
1771236000,0.0,1415.0,1415.3,1415.0,1415.3,1415.3,42000,2000,0.0,0.0,-2.33,-2.33,-1,-10.0
1771322400,0.0,1429.4,1442.0,1424.2,1441.8,1441.8,45000,16000,0.0,0.0,7.14,7.14,3,26.5
1771408800,0.0,1440.7,1441.2,1435.0,1435.2,1435.2,48000,8000,0.0,0.0,6.67,6.67,3,-6.6
1771495200,0.0,1434.0,1436.6,1409.5,1409.5,1409.5,51000,8000,0.0,0.0,6.25,6.25,3,-25.7
1771581600,0.0,1403.1,1418.0,1396.0,1397.2,1397.2,65000,46000,0.0,0.0,27.45,27.45,14,-12.3
