time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,235.72,246.89,235.72,241.82,241.82,115000,153000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,241.89,243.35,239.7,242.72,242.72,149000,110000,0.0,0.0,29.57,29.57,34,0.9
1770112800,0.0,252.0,252.0,243.11,243.47,243.47,362000,412000,0.0,0.0,142.95,142.95,213,0.75
1770199200,0.0,232.97,234.2,227.18,233.62,233.62,648000,587000,0.0,0.0,79.01,79.01,286,-9.85
1770285600,0.0,233.73,235.95,232.4,234.03,234.03,732000,267000,0.0,0.0,12.96,12.96,84,0.41
1770372000,0.0,232.75,232.75,228.61,230.84,230.84,873000,289000,0.0,0.0,19.26,19.26,141,-3.19
1770631200,0.0,232.0,232.46,230.0,230.51,230.51,949000,168000,0.0,0.0,8.71,8.71,76,-0.33
1770717600,0.0,229.05,232.6,228.5,231.66,231.66,983000,243000,0.0,0.0,3.58,3.58,34,1.15
1770804000,0.0,232.75,232.78,229.6,230.06,230.06,1028000,153000,0.0,0.0,4.58,4.58,45,-1.6
1770890400,0.0,226.0,226.0,218.56,219.44,219.44,1380000,630000,0.0,0.0,34.24,34.24,352,-10.62
1770976800,0.0,215.0,216.4,208.07,214.38,214.38,1494000,480000,0.0,0.0,8.26,8.26,114,-5.06
1771236000,0.0,216.2,216.2,210.85,213.83,213.83,1580000,245000,0.0,0.0,5.76,5.76,86,-0.55
1771322400,0.0,213.9,219.6,213.1,216.44,216.44,1618000,345000,0.0,0.0,2.41,2.41,38,2.61
1771408800,0.0,216.3,216.3,210.13,211.78,211.78,1893000,618000,0.0,0.0,17.0,17.0,275,-4.66
1771495200,0.0,213.71,214.25,210.4,210.94,210.94,1968000,542000,0.0,0.0,3.96,3.96,75,-0.84
1771581600,0.0,209.48,212.0,208.11,210.1,210.1,2255000,588000,0.0,0.0,14.58,14.58,287,-0.84
