time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,7000.0,7076.0,6900.0,6946.0,6946.0,28636000,3942000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,6900.5,6990.0,6851.5,6951.5,6951.5,28292000,2606000,0.0,0.0,-1.2,-1.2,-344,5.5
1770112800,0.0,7150.0,7189.5,7022.5,7105.5,7105.5,27812000,5051000,0.0,0.0,-1.7,-1.7,-480,154.0
1770199200,0.0,7137.5,7180.0,7050.5,7142.0,7142.0,27436000,2979000,0.0,0.0,-1.35,-1.35,-376,36.5
1770285600,0.0,7194.5,7194.5,7065.0,7151.0,7151.0,27391000,2144000,0.0,0.0,-0.16,-0.16,-45,9.0
1770372000,0.0,7121.0,7190.5,7010.0,7166.0,7166.0,28468000,4325000,0.0,0.0,3.93,3.93,1077,15.0
1770631200,0.0,7240.0,7285.5,7178.5,7218.5,7218.5,28049000,5273000,0.0,0.0,-1.47,-1.47,-419,52.5
1770717600,0.0,7230.5,7285.0,7187.0,7213.5,7213.5,27723000,5102000,0.0,0.0,-1.16,-1.16,-326,-5.0
1770804000,0.0,7400.0,7650.0,7400.0,7520.5,7520.5,28134000,14126000,0.0,0.0,1.48,1.48,411,307.0
1770890400,0.0,7502.0,7581.5,7425.5,7532.5,7532.5,27942000,3483000,0.0,0.0,-0.68,-0.68,-192,12.0
1770976800,0.0,7510.0,7593.5,7499.0,7534.0,7534.0,27645000,3423000,0.0,0.0,-1.06,-1.06,-297,1.5
1771236000,0.0,7560.0,7629.0,7483.0,7614.5,7614.5,26687000,3499000,0.0,0.0,-3.47,-3.47,-958,80.5
1771322400,0.0,7613.5,7613.5,7551.0,7597.5,7597.5,26161000,2048000,0.0,0.0,-1.97,-1.97,-526,-17.0
1771408800,0.0,7581.5,7663.5,7581.5,7640.5,7640.5,24815000,2764000,0.0,0.0,-5.15,-5.15,-1346,43.0
1771495200,0.0,7620.0,7648.0,7560.0,7579.5,7579.5,18477000,7466000,0.0,0.0,-25.54,-25.54,-6338,-61.0
1771581600,0.0,7558.0,7636.0,7543.5,7607.0,7607.0,11818000,7785000,0.0,0.0,-36.04,-36.04,-6659,27.5
