time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,296.1,297.4,277.0,280.05,280.05,31347000,15185000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,278.2,280.5,271.4,278.55,278.55,32102000,14077000,0.0,0.0,2.41,2.41,755,-1.5
1770112800,0.0,295.0,296.65,283.0,285.75,285.75,29733000,10663000,0.0,0.0,-7.38,-7.38,-2369,7.2
1770199200,0.0,285.0,293.05,282.5,291.55,291.55,28565000,6622000,0.0,0.0,-3.93,-3.93,-1168,5.8
1770285600,0.0,292.5,293.5,289.55,291.1,291.1,27969000,4269000,0.0,0.0,-2.09,-2.09,-596,-0.45
1770372000,0.0,291.25,292.0,285.0,289.6,289.6,28134000,5378000,0.0,0.0,0.59,0.59,165,-1.5
1770631200,0.0,293.0,295.6,290.45,291.5,291.5,28442000,7147000,0.0,0.0,1.09,1.09,308,1.9
1770717600,0.0,291.5,293.4,289.2,291.3,291.3,29310000,3623000,0.0,0.0,3.05,3.05,868,-0.2
1770804000,0.0,291.0,293.4,286.7,291.4,291.4,29548000,5116000,0.0,0.0,0.81,0.81,238,0.1
1770890400,0.0,290.6,292.1,288.15,289.9,289.9,29499000,3096000,0.0,0.0,-0.17,-0.17,-49,-1.5
1770976800,0.0,288.0,288.4,285.1,287.75,287.75,29152000,3650000,0.0,0.0,-1.18,-1.18,-347,-2.15
1771236000,0.0,285.0,294.1,284.0,293.4,293.4,28022000,5100000,0.0,0.0,-3.88,-3.88,-1130,5.65
1771322400,0.0,293.1,305.1,291.6,303.1,303.1,27370000,11074000,0.0,0.0,-2.33,-2.33,-652,9.7
1771408800,0.0,304.0,307.35,303.15,305.5,305.5,25794000,6888000,0.0,0.0,-5.76,-5.76,-1576,2.4
1771495200,0.0,304.9,305.8,302.8,303.85,303.85,19788000,9525000,0.0,0.0,-23.28,-23.28,-6006,-1.65
1771581600,0.0,303.0,310.9,302.15,308.3,308.3,11034000,13484000,0.0,0.0,-44.24,-44.24,-8754,4.45
