time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,10550.0,11057.0,10001.0,10201.0,10201.0,61006000,34347000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,10201.0,10564.0,10115.0,10365.0,10365.0,61968000,17676000,0.0,0.0,1.58,1.58,962,164.0
1770112800,0.0,11150.0,11257.0,10856.0,11044.0,11044.0,54904000,31211000,0.0,0.0,-11.4,-11.4,-7064,679.0
1770199200,0.0,10931.0,11728.0,10931.0,11694.0,11694.0,50126000,26758000,0.0,0.0,-8.7,-8.7,-4778,650.0
1770285600,0.0,11680.0,11721.0,11166.0,11420.0,11420.0,48481000,24025000,0.0,0.0,-3.28,-3.28,-1645,-274.0
1770372000,0.0,11380.0,11575.0,11220.0,11533.0,11533.0,48646000,11599000,0.0,0.0,0.34,0.34,165,113.0
1770631200,0.0,11630.0,11865.0,11556.0,11765.0,11765.0,48166000,12795000,0.0,0.0,-0.99,-0.99,-480,232.0
1770717600,0.0,11845.0,11845.0,11566.0,11621.0,11621.0,47112000,11049000,0.0,0.0,-2.19,-2.19,-1054,-144.0
1770804000,0.0,11720.0,11799.0,11500.0,11776.0,11776.0,46783000,10699000,0.0,0.0,-0.7,-0.7,-329,155.0
1770890400,0.0,11745.0,11800.0,11590.0,11651.0,11651.0,46768000,6365000,0.0,0.0,-0.03,-0.03,-15,-125.0
1770976800,0.0,11411.0,11550.0,11258.0,11411.0,11411.0,46777000,9459000,0.0,0.0,0.02,0.02,9,-240.0
1771236000,0.0,11390.0,11867.0,11385.0,11787.0,11787.0,45143000,13785000,0.0,0.0,-3.49,-3.49,-1634,376.0
1771322400,0.0,11760.0,11825.0,11594.0,11620.0,11620.0,43778000,7731000,0.0,0.0,-3.02,-3.02,-1365,-167.0
1771408800,0.0,11660.0,11697.0,11244.0,11533.0,11533.0,39978000,14698000,0.0,0.0,-8.68,-8.68,-3800,-87.0
1771495200,0.0,11411.0,11448.0,11111.0,11220.0,11220.0,27984000,24145000,0.0,0.0,-30.0,-30.0,-11994,-313.0
1771581600,0.0,11051.0,11286.0,11031.0,11085.0,11085.0,17460000,20633000,0.0,0.0,-37.61,-37.61,-10524,-135.0
