time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,856.2,869.0,830.0,835.3,835.3,14814000,1619000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,832.65,842.5,816.25,840.05,840.05,14849000,1912000,0.0,0.0,0.24,0.24,35,4.75
1770112800,0.0,865.0,872.0,853.0,866.6,866.6,14789000,2249000,0.0,0.0,-0.4,-0.4,-60,26.55
1770199200,0.0,863.05,872.85,857.3,863.45,863.45,14955000,1766000,0.0,0.0,1.12,1.12,166,-3.15
1770285600,0.0,856.65,875.05,851.55,860.95,860.95,15310000,1740000,0.0,0.0,2.37,2.37,355,-2.5
1770372000,0.0,867.5,867.5,845.15,858.35,858.35,15390000,1257000,0.0,0.0,0.52,0.52,80,-2.6
1770631200,0.0,856.15,897.0,854.0,893.2,893.2,15467000,3878000,0.0,0.0,0.5,0.5,77,34.85
1770717600,0.0,896.5,899.8,888.3,892.95,892.95,15369000,1867000,0.0,0.0,-0.63,-0.63,-98,-0.25
1770804000,0.0,892.5,932.8,892.5,921.25,921.25,15850000,4918000,0.0,0.0,3.13,3.13,481,28.3
1770890400,0.0,922.8,943.55,921.4,930.15,930.15,15835000,3880000,0.0,0.0,-0.09,-0.09,-15,8.9
1770976800,0.0,932.0,932.0,915.7,919.05,919.05,15808000,2502000,0.0,0.0,-0.17,-0.17,-27,-11.1
1771236000,0.0,921.0,923.95,896.5,916.0,916.0,15238000,3799000,0.0,0.0,-3.61,-3.61,-570,-3.05
1771322400,0.0,919.45,929.65,903.0,907.0,907.0,14773000,2344000,0.0,0.0,-3.05,-3.05,-465,-9.0
1771408800,0.0,903.25,916.8,901.65,914.7,914.7,14389000,1797000,0.0,0.0,-2.6,-2.6,-384,7.7
1771495200,0.0,911.0,923.85,905.9,907.75,907.75,11331000,3951000,0.0,0.0,-21.25,-21.25,-3058,-6.95
1771581600,0.0,909.0,927.95,908.9,921.4,921.4,5752000,7274000,0.0,0.0,-49.24,-49.24,-5579,13.65
