time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,918.0,939.85,869.15,910.9,910.9,64337000,20960000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,892.65,940.2,892.65,935.75,935.75,63943000,20711000,0.0,0.0,-0.61,-0.61,-394,24.85
1770112800,0.0,965.0,974.35,945.6,958.0,958.0,61318000,18015000,0.0,0.0,-4.11,-4.11,-2625,22.25
1770199200,0.0,962.0,971.4,957.0,966.45,966.45,60671000,8907000,0.0,0.0,-1.06,-1.06,-647,8.45
1770285600,0.0,945.0,945.0,926.05,938.85,938.85,60596000,10883000,0.0,0.0,-0.12,-0.12,-75,-27.6
1770372000,0.0,926.0,946.75,925.0,942.9,942.9,60669000,8303000,0.0,0.0,0.12,0.12,73,4.05
1770631200,0.0,957.1,972.0,949.25,963.85,963.85,61037000,8836000,0.0,0.0,0.61,0.61,368,20.95
1770717600,0.0,969.0,976.2,955.4,968.2,968.2,61564000,7988000,0.0,0.0,0.86,0.86,527,4.35
1770804000,0.0,968.5,971.7,949.7,964.85,964.85,62004000,15733000,0.0,0.0,0.71,0.71,440,-3.35
1770890400,0.0,945.0,965.3,944.95,963.4,963.4,62110000,18092000,0.0,0.0,0.17,0.17,106,-1.45
1770976800,0.0,928.0,932.95,902.15,909.65,909.65,64819000,24888000,0.0,0.0,4.36,4.36,2709,-53.75
1771236000,0.0,896.2,912.5,892.0,909.8,909.8,65319000,11365000,0.0,0.0,0.77,0.77,500,0.15
1771322400,0.0,897.0,899.0,882.95,892.1,892.1,65943000,12056000,0.0,0.0,0.96,0.96,624,-17.7
1771408800,0.0,892.0,908.75,892.0,900.5,900.5,63412000,9937000,0.0,0.0,-3.84,-3.84,-2531,8.4
1771495200,0.0,904.8,921.9,901.0,906.65,906.65,45525000,24180000,0.0,0.0,-28.21,-28.21,-17887,6.15
1771581600,0.0,911.8,935.8,902.05,933.6,933.6,28618000,26295000,0.0,0.0,-37.14,-37.14,-16907,26.95
