time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,427.5,437.25,403.5,433.2,433.2,18608000,7084000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,437.0,455.8,435.1,454.1,454.1,17648000,7270000,0.0,0.0,-5.16,-5.16,-960,20.9
1770112800,0.0,470.9,474.2,445.7,452.7,452.7,17964000,6640000,0.0,0.0,1.79,1.79,316,-1.4
1770199200,0.0,451.7,465.8,451.45,461.15,461.15,18426000,3852000,0.0,0.0,2.57,2.57,462,8.45
1770285600,0.0,464.0,474.3,457.05,460.9,460.9,18815000,4486000,0.0,0.0,2.11,2.11,389,-0.25
1770372000,0.0,462.0,468.4,460.65,463.95,463.95,18625000,3032000,0.0,0.0,-1.01,-1.01,-190,3.05
1770631200,0.0,466.0,468.25,460.95,464.25,464.25,18705000,1857000,0.0,0.0,0.43,0.43,80,0.3
1770717600,0.0,464.05,465.4,457.55,462.25,462.25,18707000,2023000,0.0,0.0,0.01,0.01,2,-2.0
1770804000,0.0,462.0,468.2,459.55,462.1,462.1,18792000,2096000,0.0,0.0,0.45,0.45,85,-0.15
1770890400,0.0,463.1,464.75,448.35,452.75,452.75,18603000,2400000,0.0,0.0,-1.01,-1.01,-189,-9.35
1770976800,0.0,453.95,456.2,449.9,450.9,450.9,18092000,1921000,0.0,0.0,-2.75,-2.75,-511,-1.85
1771236000,0.0,450.0,453.4,446.0,453.0,453.0,17977000,1194000,0.0,0.0,-0.64,-0.64,-115,2.1
1771322400,0.0,449.95,454.55,444.4,454.0,454.0,17393000,1542000,0.0,0.0,-3.25,-3.25,-584,1.0
1771408800,0.0,456.0,458.6,453.4,457.8,457.8,16793000,1866000,0.0,0.0,-3.45,-3.45,-600,3.8
1771495200,0.0,454.1,454.1,431.45,434.7,434.7,13612000,7458000,0.0,0.0,-18.94,-18.94,-3181,-23.1
1771581600,0.0,432.55,434.65,426.4,431.5,431.5,8614000,7366000,0.0,0.0,-36.72,-36.72,-4998,-3.2
