time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,675.95,682.65,625.75,664.05,664.05,26790000,5107000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,660.2,667.9,647.8,665.8,665.8,26763000,3190000,0.0,0.0,-0.1,-0.1,-27,1.75
1770112800,0.0,686.0,696.75,679.3,682.45,682.45,26169000,4294000,0.0,0.0,-2.22,-2.22,-594,16.65
1770199200,0.0,681.25,689.25,673.3,688.25,688.25,26069000,1974000,0.0,0.0,-0.38,-0.38,-100,5.8
1770285600,0.0,690.0,694.85,683.8,690.95,690.95,25740000,2153000,0.0,0.0,-1.26,-1.26,-329,2.7
1770372000,0.0,688.95,689.4,676.25,683.75,683.75,25919000,2355000,0.0,0.0,0.7,0.7,179,-7.2
1770631200,0.0,688.0,699.85,685.05,697.45,697.45,25081000,4151000,0.0,0.0,-3.23,-3.23,-838,13.7
1770717600,0.0,700.0,708.85,693.8,703.25,703.25,25247000,3048000,0.0,0.0,0.66,0.66,166,5.8
1770804000,0.0,703.25,709.0,699.8,708.45,708.45,25479000,2843000,0.0,0.0,0.92,0.92,232,5.2
1770890400,0.0,708.0,715.0,698.35,713.05,713.05,25455000,7208000,0.0,0.0,-0.09,-0.09,-24,4.6
1770976800,0.0,705.1,706.85,683.4,699.7,699.7,25638000,7017000,0.0,0.0,0.72,0.72,183,-13.35
1771236000,0.0,698.8,703.85,685.6,692.6,692.6,25501000,2732000,0.0,0.0,-0.53,-0.53,-137,-7.1
1771322400,0.0,692.4,698.6,686.05,687.7,687.7,25177000,2667000,0.0,0.0,-1.27,-1.27,-324,-4.9
1771408800,0.0,682.55,696.0,682.2,694.6,694.6,23438000,6608000,0.0,0.0,-6.91,-6.91,-1739,6.9
1771495200,0.0,692.4,694.65,667.55,671.05,671.05,19035000,7331000,0.0,0.0,-18.79,-18.79,-4403,-23.55
1771581600,0.0,661.8,679.55,661.8,674.4,674.4,12985000,8457000,0.0,0.0,-31.78,-31.78,-6050,3.35
