time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,163.01,163.01,158.12,160.39,160.39,17600000,2108000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,159.83,166.1,159.83,165.33,165.33,18211000,4381000,0.0,0.0,3.47,3.47,611,4.94
1770112800,0.0,168.4,168.8,164.87,168.22,168.22,18396000,4195000,0.0,0.0,1.02,1.02,185,2.89
1770199200,0.0,167.5,174.38,167.0,173.58,173.58,19744000,6012000,0.0,0.0,7.33,7.33,1348,5.36
1770285600,0.0,173.65,178.27,172.8,176.45,176.45,20731000,11132000,0.0,0.0,5.0,5.0,987,2.87
1770372000,0.0,177.0,181.3,173.6,175.28,175.28,20794000,7761000,0.0,0.0,0.3,0.3,63,-1.17
1770631200,0.0,176.0,177.46,175.11,176.71,176.71,20499000,2385000,0.0,0.0,-1.42,-1.42,-295,1.43
1770717600,0.0,176.37,179.0,175.32,178.26,178.26,19829000,2606000,0.0,0.0,-3.27,-3.27,-670,1.55
1770804000,0.0,178.0,181.7,177.39,181.39,181.39,18484000,3926000,0.0,0.0,-6.78,-6.78,-1345,3.13
1770890400,0.0,181.6,181.6,175.4,178.13,178.13,17628000,4618000,0.0,0.0,-4.63,-4.63,-856,-3.26
1770976800,0.0,177.5,177.95,175.93,176.67,176.67,17106000,2135000,0.0,0.0,-2.96,-2.96,-522,-1.46
1771236000,0.0,175.14,175.79,173.83,175.54,175.54,17161000,1578000,0.0,0.0,0.32,0.32,55,-1.13
1771322400,0.0,175.01,176.0,172.0,175.8,175.8,17055000,1744000,0.0,0.0,-0.62,-0.62,-106,0.26
1771408800,0.0,176.68,178.94,175.75,178.61,178.61,16457000,1997000,0.0,0.0,-3.51,-3.51,-598,2.81
1771495200,0.0,178.2,178.2,173.04,173.94,173.94,12045000,6753000,0.0,0.0,-26.81,-26.81,-4412,-4.67
1771581600,0.0,173.0,174.5,171.95,173.65,173.65,7594000,7352000,0.0,0.0,-36.95,-36.95,-4451,-0.29
