time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,2156.7,2160.0,2098.5,2132.4,2132.4,14717000,2024000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,2139.8,2139.8,2077.9,2129.0,2129.0,14609000,2552000,0.0,0.0,-0.73,-0.73,-108,-3.4
1770112800,0.0,2189.0,2224.5,2168.1,2195.2,2195.2,14554000,4900000,0.0,0.0,-0.38,-0.38,-55,66.2
1770199200,0.0,2214.9,2214.9,2162.0,2203.3,2203.3,14911000,3066000,0.0,0.0,2.45,2.45,357,8.1
1770285600,0.0,2212.0,2247.9,2205.0,2226.3,2226.3,15466000,4828000,0.0,0.0,3.72,3.72,555,23.0
1770372000,0.0,2217.2,2217.2,2165.0,2172.4,2172.4,15742000,3310000,0.0,0.0,1.78,1.78,276,-53.9
1770631200,0.0,2192.5,2222.9,2172.4,2208.6,2208.6,16241000,3942000,0.0,0.0,3.17,3.17,499,36.2
1770717600,0.0,2222.2,2239.0,2202.6,2211.7,2211.7,17875000,5948000,0.0,0.0,10.06,10.06,1634,3.1
1770804000,0.0,2223.8,2239.2,2205.0,2214.4,2214.4,19019000,4439000,0.0,0.0,6.4,6.4,1144,2.7
1770890400,0.0,2214.4,2227.7,2174.0,2213.5,2213.5,18973000,5108000,0.0,0.0,-0.24,-0.24,-46,-0.9
1770976800,0.0,2209.0,2218.4,2161.7,2196.5,2196.5,18703000,7069000,0.0,0.0,-1.42,-1.42,-270,-17.0
1771236000,0.0,2195.0,2238.0,2194.9,2227.9,2227.9,18102000,4677000,0.0,0.0,-3.21,-3.21,-601,31.4
1771322400,0.0,2235.2,2265.0,2232.9,2251.0,2251.0,17981000,3770000,0.0,0.0,-0.67,-0.67,-121,23.1
1771408800,0.0,2259.4,2259.4,2222.1,2229.6,2229.6,17471000,2078000,0.0,0.0,-2.84,-2.84,-510,-21.4
1771495200,0.0,2232.2,2248.5,2205.0,2224.5,2224.5,14139000,6940000,0.0,0.0,-19.07,-19.07,-3332,-5.1
1771581600,0.0,2209.4,2239.4,2207.0,2219.7,2219.7,10068000,6485000,0.0,0.0,-28.79,-28.79,-4071,-4.8
