time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,546.0,567.95,535.0,543.85,543.85,14489000,2496000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,544.35,566.8,528.0,564.0,564.0,15308000,9321000,0.0,0.0,5.65,5.65,819,20.15
1770112800,0.0,585.0,609.65,543.3,559.8,559.8,12690000,18440000,0.0,0.0,-17.1,-17.1,-2618,-4.2
1770199200,0.0,561.55,597.55,561.55,594.0,594.0,11456000,6303000,0.0,0.0,-9.72,-9.72,-1234,34.2
1770285600,0.0,594.4,594.4,580.9,586.85,586.85,11451000,2514000,0.0,0.0,-0.04,-0.04,-5,-7.15
1770372000,0.0,581.0,587.2,562.35,584.45,584.45,11110000,3477000,0.0,0.0,-2.98,-2.98,-341,-2.4
1770631200,0.0,584.5,606.85,584.5,595.35,595.35,11033000,3793000,0.0,0.0,-0.69,-0.69,-77,10.9
1770717600,0.0,604.1,617.15,597.95,604.25,604.25,10961000,5074000,0.0,0.0,-0.65,-0.65,-72,8.9
1770804000,0.0,605.4,627.0,598.0,618.15,618.15,10519000,4379000,0.0,0.0,-4.03,-4.03,-442,13.9
1770890400,0.0,615.55,630.4,610.0,625.35,625.35,10427000,2662000,0.0,0.0,-0.87,-0.87,-92,7.2
1770976800,0.0,615.0,624.75,602.75,617.05,617.05,10125000,3160000,0.0,0.0,-2.9,-2.9,-302,-8.3
1771236000,0.0,619.0,627.0,614.15,620.4,620.4,9736000,5495000,0.0,0.0,-3.84,-3.84,-389,3.35
1771322400,0.0,617.0,631.0,613.5,628.7,628.7,10137000,2502000,0.0,0.0,4.12,4.12,401,8.3
1771408800,0.0,630.15,633.5,618.9,628.3,628.3,10238000,2164000,0.0,0.0,1.0,1.0,101,-0.4
1771495200,0.0,630.0,632.0,605.0,607.15,607.15,8179000,4103000,0.0,0.0,-20.11,-20.11,-2059,-21.15
1771581600,0.0,604.7,620.5,603.4,614.7,614.7,5146000,4882000,0.0,0.0,-37.08,-37.08,-3033,7.55
