time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,149.97,155.42,142.19,149.14,149.14,40788000,9472000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,149.0,150.78,141.81,149.66,149.66,41478000,8804000,0.0,0.0,1.69,1.69,690,0.52
1770112800,0.0,155.24,156.25,149.79,155.09,155.09,41804000,6906000,0.0,0.0,0.79,0.79,326,5.43
1770199200,0.0,155.5,158.86,155.19,157.7,157.7,41752000,4786000,0.0,0.0,-0.12,-0.12,-52,2.61
1770285600,0.0,156.0,159.9,152.59,158.55,158.55,41273000,4302000,0.0,0.0,-1.15,-1.15,-479,0.85
1770372000,0.0,159.0,161.58,156.69,161.08,161.08,41891000,5740000,0.0,0.0,1.5,1.5,618,2.53
1770631200,0.0,161.5,162.0,157.75,159.09,159.09,41874000,6443000,0.0,0.0,-0.04,-0.04,-17,-1.99
1770717600,0.0,158.4,162.15,156.37,161.25,161.25,40327000,1797000,0.0,0.0,-3.69,-3.69,-1547,2.16
1770804000,0.0,161.0,162.9,160.94,162.23,162.23,39910000,515000,0.0,0.0,-1.03,-1.03,-417,0.98
1770890400,0.0,162.0,163.0,159.4,160.7,160.7,39640000,334000,0.0,0.0,-0.68,-0.68,-270,-1.53
1770976800,0.0,157.5,161.27,154.65,159.19,159.19,39014000,882000,0.0,0.0,-1.58,-1.58,-626,-1.51
1771236000,0.0,158.79,160.37,156.73,159.18,159.18,38803000,291000,0.0,0.0,-0.54,-0.54,-211,-0.01
1771322400,0.0,157.41,158.11,153.56,157.16,157.16,38354000,618000,0.0,0.0,-1.16,-1.16,-449,-2.02
1771408800,0.0,158.38,160.75,158.2,159.23,159.23,38100000,472000,0.0,0.0,-0.66,-0.66,-254,2.07
1771495200,0.0,160.7,161.48,154.77,155.94,155.94,35337000,3169000,0.0,0.0,-7.25,-7.25,-2763,-3.29
1771581600,0.0,157.44,160.8,155.22,159.23,159.23,26994000,9115000,0.0,0.0,-23.61,-23.61,-8343,3.29
