time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,2016.1,2020.7,1938.6,1980.1,1980.1,26271000,3321000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1965.5,2011.9,1958.0,2004.7,2004.7,26606000,4848000,0.0,0.0,1.28,1.28,335,24.6
1770112800,0.0,2063.0,2070.6,2005.6,2008.6,2008.6,26491000,7223000,0.0,0.0,-0.43,-0.43,-115,3.9
1770199200,0.0,2019.7,2051.2,2001.5,2047.4,2047.4,26286000,2973000,0.0,0.0,-0.77,-0.77,-205,38.8
1770285600,0.0,2052.9,2052.9,2013.9,2023.2,2023.2,26101000,2215000,0.0,0.0,-0.7,-0.7,-185,-24.2
1770372000,0.0,2027.0,2027.0,1982.1,2000.4,2000.4,26728000,3492000,0.0,0.0,2.4,2.4,627,-22.8
1770631200,0.0,2008.1,2037.6,2007.8,2027.5,2027.5,26492000,3909000,0.0,0.0,-0.88,-0.88,-236,27.1
1770717600,0.0,2024.7,2029.4,2000.2,2023.4,2023.4,26521000,2983000,0.0,0.0,0.11,0.11,29,-4.1
1770804000,0.0,2029.0,2042.8,2020.6,2028.8,2028.8,26264000,2488000,0.0,0.0,-0.97,-0.97,-257,5.4
1770890400,0.0,2026.1,2028.1,2001.1,2026.3,2026.3,26483000,2125000,0.0,0.0,0.83,0.83,219,-2.5
1770976800,0.0,2022.0,2043.5,2017.2,2033.0,2033.0,26171000,3460000,0.0,0.0,-1.18,-1.18,-312,6.7
1771236000,0.0,2033.7,2049.2,2022.7,2047.2,2047.2,26058000,2174000,0.0,0.0,-0.43,-0.43,-113,14.2
1771322400,0.0,2041.1,2046.4,2031.0,2040.3,2040.3,25448000,1916000,0.0,0.0,-2.34,-2.34,-610,-6.9
1771408800,0.0,2050.8,2061.7,2036.2,2059.4,2059.4,24923000,2779000,0.0,0.0,-2.06,-2.06,-525,19.1
1771495200,0.0,2063.7,2064.1,2040.0,2044.1,2044.1,19619000,6874000,0.0,0.0,-21.28,-21.28,-5304,-15.3
1771581600,0.0,2052.5,2078.7,2037.4,2075.9,2075.9,13167000,10084000,0.0,0.0,-32.89,-32.89,-6452,31.8
