time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,5672.0,5675.5,5540.0,5574.0,5574.0,25000,12000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,5444.0,5545.0,5412.5,5542.0,5542.0,25000,10000,0.0,0.0,0.0,0.0,0,-32.0
1770112800,0.0,5640.0,5734.0,5640.0,5702.0,5702.0,22000,26000,0.0,0.0,-12.0,-12.0,-3,160.0
1770199200,0.0,5655.5,5696.0,5640.0,5680.0,5680.0,23000,14000,0.0,0.0,4.55,4.55,1,-22.0
1770285600,0.0,5640.5,5703.5,5590.5,5682.5,5682.5,26000,25000,0.0,0.0,13.04,13.04,3,2.5
1770372000,0.0,5600.5,5679.5,5574.5,5675.5,5675.5,35000,28000,0.0,0.0,34.62,34.62,9,-7.0
1770631200,0.0,5685.5,5794.0,5685.5,5754.5,5754.5,29000,40000,0.0,0.0,-17.14,-17.14,-6,79.0
1770717600,0.0,5760.0,5806.0,5760.0,5790.5,5790.5,54000,38000,0.0,0.0,86.21,86.21,25,36.0
1770804000,0.0,5792.0,5910.0,5739.5,5875.0,5875.0,62000,64000,0.0,0.0,14.81,14.81,8,84.5
1770890400,0.0,5872.0,5903.0,5804.0,5861.0,5861.0,112000,97000,0.0,0.0,80.65,80.65,50,-14.0
1770976800,0.0,5811.5,5814.0,5323.5,5373.0,5373.0,292000,557000,0.0,0.0,160.71,160.71,180,-488.0
1771236000,0.0,5379.0,5516.0,5379.0,5464.5,5464.5,366000,223000,0.0,0.0,25.34,25.34,74,91.5
1771322400,0.0,5424.0,5458.0,5417.0,5445.0,5445.0,448000,215000,0.0,0.0,22.4,22.4,82,-19.5
1771408800,0.0,5442.0,5467.0,5394.5,5448.5,5448.5,845000,727000,0.0,0.0,88.62,88.62,397,3.5
1771495200,0.0,5580.0,5580.0,5343.5,5385.0,5385.0,4312000,4220000,0.0,0.0,410.3,410.3,3467,-63.5
1771581600,0.0,5352.0,5424.0,5348.0,5414.0,5414.0,6135000,2460000,0.0,0.0,42.28,42.28,1823,29.0
