time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,371.15,380.05,365.3,371.35,371.35,326000,404000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,369.35,375.0,363.8,373.3,373.3,332000,185000,0.0,0.0,1.84,1.84,6,1.95
1770112800,0.0,387.6,388.5,375.05,376.15,376.15,401000,389000,0.0,0.0,20.78,20.78,69,2.85
1770199200,0.0,374.0,379.8,369.8,371.85,371.85,432000,256000,0.0,0.0,7.73,7.73,31,-4.3
1770285600,0.0,369.95,371.65,366.35,370.85,370.85,457000,138000,0.0,0.0,5.79,5.79,25,-1.0
1770372000,0.0,368.5,369.4,364.7,368.9,368.9,474000,162000,0.0,0.0,3.72,3.72,17,-1.95
1770631200,0.0,372.5,378.65,370.5,376.8,376.8,482000,265000,0.0,0.0,1.69,1.69,8,7.9
1770717600,0.0,374.85,378.5,369.65,374.45,374.45,591000,309000,0.0,0.0,22.61,22.61,109,-2.35
1770804000,0.0,374.05,379.6,370.55,378.6,378.6,640000,337000,0.0,0.0,8.29,8.29,49,4.15
1770890400,0.0,377.9,391.8,374.5,378.85,378.85,772000,926000,0.0,0.0,20.62,20.62,132,0.25
1770976800,0.0,372.6,384.7,372.6,381.1,381.1,856000,699000,0.0,0.0,10.88,10.88,84,2.25
1771236000,0.0,379.0,387.3,379.0,383.05,383.05,1060000,531000,0.0,0.0,23.83,23.83,204,1.95
1771322400,0.0,380.8,383.45,379.5,381.65,381.65,1430000,577000,0.0,0.0,34.91,34.91,370,-1.4
1771408800,0.0,382.8,385.0,378.55,381.9,381.9,2592000,1674000,0.0,0.0,81.26,81.26,1162,0.25
1771495200,0.0,381.9,389.1,380.15,384.15,384.15,5325000,4879000,0.0,0.0,105.44,105.44,2733,2.25
1771581600,0.0,384.95,390.85,382.8,386.0,386.0,9122000,6550000,0.0,0.0,71.31,71.31,3797,1.85
