time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,146.77,149.47,138.55,141.44,141.44,1481000,965000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,138.33,147.84,138.33,147.51,147.51,1594000,723000,0.0,0.0,7.63,7.63,113,6.07
1770112800,0.0,155.35,157.17,147.99,148.37,148.37,1644000,586000,0.0,0.0,3.14,3.14,50,0.86
1770199200,0.0,147.55,149.5,147.0,148.72,148.72,1704000,423000,0.0,0.0,3.65,3.65,60,0.35
1770285600,0.0,149.3,150.4,148.74,149.47,149.47,1719000,479000,0.0,0.0,0.88,0.88,15,0.75
1770372000,0.0,149.47,149.56,146.03,148.41,148.41,1806000,486000,0.0,0.0,5.06,5.06,87,-1.06
1770631200,0.0,150.58,151.45,148.5,149.07,149.07,1872000,690000,0.0,0.0,3.65,3.65,66,0.66
1770717600,0.0,148.56,149.01,147.8,147.92,147.92,2015000,502000,0.0,0.0,7.64,7.64,143,-1.15
1770804000,0.0,147.98,147.98,145.12,146.67,146.67,2237000,911000,0.0,0.0,11.02,11.02,222,-1.25
1770890400,0.0,146.31,146.74,144.6,145.7,145.7,2382000,608000,0.0,0.0,6.48,6.48,145,-0.97
1770976800,0.0,143.92,144.5,142.39,142.73,142.73,2717000,1101000,0.0,0.0,14.06,14.06,335,-2.97
1771236000,0.0,141.85,147.0,141.31,146.67,146.67,3403000,1730000,0.0,0.0,25.25,25.25,686,3.94
1771322400,0.0,146.86,150.69,145.7,149.71,149.71,4624000,3686000,0.0,0.0,35.88,35.88,1221,3.04
1771408800,0.0,150.29,153.45,149.96,152.62,152.62,6642000,4750000,0.0,0.0,43.64,43.64,2018,2.91
1771495200,0.0,153.01,153.23,149.37,150.01,150.01,9541000,6827000,0.0,0.0,43.65,43.65,2899,-2.61
1771581600,0.0,149.65,155.39,149.12,154.65,154.65,12765000,10676000,0.0,0.0,33.79,33.79,3224,4.64
