time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1626.6,1660.5,1577.0,1585.3,1585.3,193000,153000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1577.4,1615.1,1543.1,1609.2,1609.2,196000,171000,0.0,0.0,1.55,1.55,3,23.9
1770112800,0.0,1712.0,1750.0,1689.0,1704.0,1704.0,191000,171000,0.0,0.0,-2.55,-2.55,-5,94.8
1770199200,0.0,1700.0,1750.9,1694.9,1748.2,1748.2,226000,212000,0.0,0.0,18.32,18.32,35,44.2
1770285600,0.0,1739.7,1747.6,1728.0,1736.2,1736.2,242000,63000,0.0,0.0,7.08,7.08,16,-12.0
1770372000,0.0,1740.3,1755.0,1710.0,1751.9,1751.9,271000,173000,0.0,0.0,11.98,11.98,29,15.7
1770631200,0.0,1763.4,1787.0,1761.0,1779.9,1779.9,275000,112000,0.0,0.0,1.48,1.48,4,28.0
1770717600,0.0,1779.4,1779.4,1736.0,1739.6,1739.6,292000,174000,0.0,0.0,6.18,6.18,17,-40.3
1770804000,0.0,1738.0,1745.0,1727.2,1731.4,1731.4,313000,75000,0.0,0.0,7.19,7.19,21,-8.2
1770890400,0.0,1717.4,1753.6,1713.8,1747.4,1747.4,326000,128000,0.0,0.0,4.15,4.15,13,16.0
1770976800,0.0,1741.9,1741.9,1716.5,1720.6,1720.6,347000,110000,0.0,0.0,6.44,6.44,21,-26.8
1771236000,0.0,1700.1,1734.0,1699.3,1729.2,1729.2,420000,240000,0.0,0.0,21.04,21.04,73,8.6
1771322400,0.0,1714.6,1747.5,1710.8,1742.0,1742.0,478000,324000,0.0,0.0,13.81,13.81,58,12.8
1771408800,0.0,1732.6,1743.1,1722.5,1730.3,1730.3,1820000,2360000,0.0,0.0,280.75,280.75,1342,-11.7
1771495200,0.0,1734.9,1734.9,1683.5,1689.8,1689.8,7577000,7118000,0.0,0.0,316.32,316.32,5757,-40.5
1771581600,0.0,1680.5,1698.2,1674.5,1681.2,1681.2,15341000,9548000,0.0,0.0,102.47,102.47,7764,-8.6
