time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,224.83,233.95,223.66,227.93,227.93,893000,216000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,226.0,229.0,221.32,228.35,228.35,922000,198000,0.0,0.0,3.25,3.25,29,0.42
1770112800,0.0,235.38,242.0,231.68,234.93,234.93,905000,386000,0.0,0.0,-1.84,-1.84,-17,6.58
1770199200,0.0,236.12,249.01,236.12,247.04,247.04,862000,518000,0.0,0.0,-4.75,-4.75,-43,12.11
1770285600,0.0,247.68,250.8,244.38,249.25,249.25,870000,264000,0.0,0.0,0.93,0.93,8,2.21
1770372000,0.0,246.5,249.27,244.6,246.74,246.74,898000,193000,0.0,0.0,3.22,3.22,28,-2.51
1770631200,0.0,246.6,266.32,246.41,265.05,265.05,864000,721000,0.0,0.0,-3.79,-3.79,-34,18.31
1770717600,0.0,265.05,271.0,262.74,263.62,263.62,936000,419000,0.0,0.0,8.33,8.33,72,-1.43
1770804000,0.0,263.82,269.1,263.62,268.4,268.4,959000,277000,0.0,0.0,2.46,2.46,23,4.78
1770890400,0.0,267.0,269.18,263.0,265.84,265.84,989000,285000,0.0,0.0,3.13,3.13,30,-2.56
1770976800,0.0,263.02,271.26,257.65,269.28,269.28,1110000,575000,0.0,0.0,12.23,12.23,121,3.44
1771236000,0.0,269.0,274.94,268.62,273.69,273.69,1378000,597000,0.0,0.0,24.14,24.14,268,4.41
1771322400,0.0,275.02,276.29,269.7,271.42,271.42,1682000,723000,0.0,0.0,22.06,22.06,304,-2.27
1771408800,0.0,272.5,274.44,269.04,273.81,273.81,2831000,1667000,0.0,0.0,68.31,68.31,1149,2.39
1771495200,0.0,272.87,274.27,266.3,267.17,267.17,9914000,8493000,0.0,0.0,250.19,250.19,7083,-6.64
1771581600,0.0,269.61,272.78,266.37,267.47,267.47,17905000,9914000,0.0,0.0,80.6,80.6,7991,0.3
