time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,273.85,278.5,261.75,270.95,270.95,4355000,743000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,269.05,277.5,268.45,274.45,274.45,4456000,380000,0.0,0.0,2.32,2.32,101,3.5
1770112800,0.0,295.4,299.45,280.0,281.25,281.25,4611000,997000,0.0,0.0,3.48,3.48,155,6.8
1770199200,0.0,276.15,296.75,275.05,296.0,296.0,4828000,1398000,0.0,0.0,4.71,4.71,217,14.75
1770285600,0.0,293.05,296.8,287.5,289.75,289.75,4886000,643000,0.0,0.0,1.2,1.2,58,-6.25
1770372000,0.0,289.15,290.55,284.4,286.1,286.1,4843000,365000,0.0,0.0,-0.88,-0.88,-43,-3.65
1770631200,0.0,285.55,291.85,285.25,290.8,290.8,4859000,421000,0.0,0.0,0.33,0.33,16,4.7
1770717600,0.0,292.8,310.35,291.7,306.0,306.0,5159000,2315000,0.0,0.0,6.17,6.17,300,15.2
1770804000,0.0,309.05,309.05,302.65,303.55,303.55,5333000,1226000,0.0,0.0,3.37,3.37,174,-2.45
1770890400,0.0,300.0,302.7,294.05,300.5,300.5,5519000,1320000,0.0,0.0,3.49,3.49,186,-3.05
1770976800,0.0,300.0,302.15,286.2,287.35,287.35,6179000,2306000,0.0,0.0,11.96,11.96,660,-13.15
1771236000,0.0,286.7,291.65,285.9,289.0,289.0,6651000,1295000,0.0,0.0,7.64,7.64,472,1.65
1771322400,0.0,285.0,285.0,279.1,283.5,283.5,8012000,2925000,0.0,0.0,20.46,20.46,1361,-5.5
1771408800,0.0,285.8,285.8,274.9,278.6,278.6,23955000,18638000,0.0,0.0,198.99,198.99,15943,-4.9
1771495200,0.0,276.6,281.0,272.2,273.3,273.3,43703000,23631000,0.0,0.0,82.44,82.44,19748,-5.3
1771581600,0.0,272.2,274.35,269.35,270.95,270.95,63543000,24552000,0.0,0.0,45.4,45.4,19840,-2.35
