time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,325.9,329.8,315.05,319.6,319.6,776000,236000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,317.5,326.35,311.95,324.85,324.85,782000,174000,0.0,0.0,0.77,0.77,6,5.25
1770112800,0.0,336.6,336.6,328.0,330.6,330.6,809000,401000,0.0,0.0,3.45,3.45,27,5.75
1770199200,0.0,336.0,348.5,335.7,345.05,345.05,812000,602000,0.0,0.0,0.37,0.37,3,14.45
1770285600,0.0,344.7,345.4,338.0,339.85,339.85,834000,202000,0.0,0.0,2.71,2.71,22,-5.2
1770372000,0.0,335.7,337.5,331.55,335.7,335.7,881000,153000,0.0,0.0,5.64,5.64,47,-4.15
1770631200,0.0,336.6,344.15,336.3,343.35,343.35,940000,249000,0.0,0.0,6.7,6.7,59,7.65
1770717600,0.0,343.4,346.85,340.1,341.3,341.3,1033000,249000,0.0,0.0,9.89,9.89,93,-2.05
1770804000,0.0,342.3,344.0,340.65,343.7,343.7,1072000,151000,0.0,0.0,3.78,3.78,39,2.4
1770890400,0.0,342.0,342.0,336.9,340.45,340.45,1164000,263000,0.0,0.0,8.58,8.58,92,-3.25
1770976800,0.0,338.3,342.9,334.55,338.05,338.05,1241000,281000,0.0,0.0,6.62,6.62,77,-2.4
1771236000,0.0,335.7,344.0,335.1,343.7,343.7,1494000,545000,0.0,0.0,20.39,20.39,253,5.65
1771322400,0.0,343.0,346.3,342.55,343.85,343.85,2943000,1819000,0.0,0.0,96.99,96.99,1449,0.15
1771408800,0.0,342.15,345.15,340.45,343.9,343.9,4833000,2339000,0.0,0.0,64.22,64.22,1890,0.05
1771495200,0.0,344.4,345.1,333.75,335.9,335.9,7717000,3622000,0.0,0.0,59.67,59.67,2884,-8.0
1771581600,0.0,336.9,340.3,333.95,338.55,338.55,9457000,3548000,0.0,0.0,22.55,22.55,1740,2.65
