time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,2520.9,2586.7,2467.2,2479.9,2479.9,204000,198000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,2481.5,2599.8,2479.6,2589.7,2589.7,229000,113000,0.0,0.0,12.25,12.25,25,109.8
1770112800,0.0,2785.0,2788.0,2680.8,2690.2,2690.2,197000,244000,0.0,0.0,-13.97,-13.97,-32,100.5
1770199200,0.0,2708.0,2765.8,2706.2,2751.6,2751.6,228000,148000,0.0,0.0,15.74,15.74,31,61.4
1770285600,0.0,2762.9,2786.2,2757.0,2782.3,2782.3,256000,128000,0.0,0.0,12.28,12.28,28,30.7
1770372000,0.0,2775.3,2778.5,2715.2,2737.3,2737.3,269000,104000,0.0,0.0,5.08,5.08,13,-45.0
1770631200,0.0,2755.0,2766.9,2740.6,2762.4,2762.4,281000,64000,0.0,0.0,4.46,4.46,12,25.1
1770717600,0.0,2773.0,2841.6,2772.9,2834.5,2834.5,333000,260000,0.0,0.0,18.51,18.51,52,72.1
1770804000,0.0,2839.6,2851.0,2833.6,2847.3,2847.3,342000,123000,0.0,0.0,2.7,2.7,9,12.8
1770890400,0.0,2853.3,2856.5,2837.7,2853.5,2853.5,446000,285000,0.0,0.0,30.41,30.41,104,6.2
1770976800,0.0,2834.9,2844.0,2820.0,2828.0,2828.0,535000,295000,0.0,0.0,19.96,19.96,89,-25.5
1771236000,0.0,2823.0,2868.4,2818.5,2865.6,2865.6,556000,204000,0.0,0.0,3.93,3.93,21,37.6
1771322400,0.0,2851.1,2889.6,2850.0,2883.7,2883.7,700000,428000,0.0,0.0,25.9,25.9,144,18.1
1771408800,0.0,2887.8,2914.1,2818.0,2834.3,2834.3,1401000,1558000,0.0,0.0,100.14,100.14,701,-49.4
1771495200,0.0,2835.0,2841.3,2730.1,2743.2,2743.2,6545000,7614000,0.0,0.0,367.17,367.17,5144,-91.1
1771581600,0.0,2730.8,2773.8,2718.6,2733.2,2733.2,11076000,7911000,0.0,0.0,69.23,69.23,4531,-10.0
