time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,733.5,739.2,716.0,721.05,721.05,497000,82000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,724.25,727.9,717.5,724.4,724.4,534000,116000,0.0,0.0,7.44,7.44,37,3.35
1770112800,0.0,735.6,740.1,726.5,727.5,727.5,587000,162000,0.0,0.0,9.93,9.93,53,3.1
1770199200,0.0,723.9,734.05,723.9,730.55,730.55,667000,219000,0.0,0.0,13.63,13.63,80,3.05
1770285600,0.0,727.0,729.0,720.5,728.6,728.6,699000,132000,0.0,0.0,4.8,4.8,32,-1.95
1770372000,0.0,728.5,728.5,706.5,710.55,710.55,842000,366000,0.0,0.0,20.46,20.46,143,-18.05
1770631200,0.0,714.95,718.3,712.0,714.85,714.85,988000,290000,0.0,0.0,17.34,17.34,146,4.3
1770717600,0.0,716.15,719.0,709.5,710.85,710.85,1104000,210000,0.0,0.0,11.74,11.74,116,-4.0
1770804000,0.0,710.05,710.05,705.5,707.3,707.3,1629000,694000,0.0,0.0,47.55,47.55,525,-3.55
1770890400,0.0,702.3,709.7,696.0,708.8,708.8,1821000,408000,0.0,0.0,11.79,11.79,192,1.5
1770976800,0.0,707.6,713.0,700.0,701.6,701.6,1877000,215000,0.0,0.0,3.08,3.08,56,-7.2
1771236000,0.0,701.4,712.65,699.15,709.95,709.95,2039000,385000,0.0,0.0,8.63,8.63,162,8.35
1771322400,0.0,710.85,716.0,706.95,711.25,711.25,2453000,689000,0.0,0.0,20.3,20.3,414,1.3
1771408800,0.0,711.8,734.0,710.0,732.95,732.95,3717000,2238000,0.0,0.0,51.53,51.53,1264,21.7
1771495200,0.0,728.85,741.35,727.95,737.85,737.85,12973000,12054000,0.0,0.0,249.02,249.02,9256,4.9
1771581600,0.0,733.15,740.65,732.1,733.6,733.6,20560000,9929000,0.0,0.0,58.48,58.48,7587,-4.25
