time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,5560.0,5720.0,5433.5,5549.0,5549.0,386000,209000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,5547.0,5637.0,5425.0,5629.0,5629.0,421000,166000,0.0,0.0,9.07,9.07,35,80.0
1770112800,0.0,5740.0,5786.0,5682.5,5780.5,5780.5,457000,207000,0.0,0.0,8.55,8.55,36,151.5
1770199200,0.0,5742.5,5882.5,5733.5,5877.0,5877.0,467000,325000,0.0,0.0,2.19,2.19,10,96.5
1770285600,0.0,5840.5,5878.5,5757.0,5782.0,5782.0,503000,167000,0.0,0.0,7.71,7.71,36,-95.0
1770372000,0.0,5730.0,5776.0,5640.0,5692.5,5692.5,565000,386000,0.0,0.0,12.33,12.33,62,-89.5
1770631200,0.0,5708.0,5708.0,5607.0,5698.5,5698.5,593000,188000,0.0,0.0,4.96,4.96,28,6.0
1770717600,0.0,5698.5,5785.0,5659.5,5695.0,5695.0,662000,300000,0.0,0.0,11.64,11.64,69,-3.5
1770804000,0.0,5710.0,5802.5,5586.5,5734.5,5734.5,742000,476000,0.0,0.0,12.08,12.08,80,39.5
1770890400,0.0,5775.0,5857.0,5740.0,5779.5,5779.5,994000,600000,0.0,0.0,33.96,33.96,252,45.0
1770976800,0.0,5770.5,5770.5,5601.5,5629.5,5629.5,1105000,430000,0.0,0.0,11.17,11.17,111,-150.0
1771236000,0.0,5578.5,5672.5,5500.0,5540.0,5540.0,1464000,961000,0.0,0.0,32.49,32.49,359,-89.5
1771322400,0.0,5518.5,5629.5,5494.0,5620.0,5620.0,1706000,771000,0.0,0.0,16.53,16.53,242,80.0
1771408800,0.0,5613.5,5670.0,5582.0,5625.0,5625.0,3335000,2442000,0.0,0.0,95.49,95.49,1629,5.0
1771495200,0.0,5646.0,5676.0,5411.0,5437.5,5437.5,9629000,9530000,0.0,0.0,188.73,188.73,6294,-187.5
1771581600,0.0,5435.0,5505.5,5400.0,5486.5,5486.5,16490000,11014000,0.0,0.0,71.25,71.25,6861,49.0
