time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,4662.2,4692.4,4582.4,4622.8,4622.8,1088000,308000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,4675.0,4746.5,4631.0,4737.6,4737.6,1073000,312000,0.0,0.0,-1.38,-1.38,-15,114.8
1770112800,0.0,4930.0,5001.3,4878.0,4978.6,4978.6,840000,903000,0.0,0.0,-21.71,-21.71,-233,241.0
1770199200,0.0,4929.0,5011.0,4929.0,4994.4,4994.4,882000,344000,0.0,0.0,5.0,5.0,42,15.8
1770285600,0.0,4902.0,4971.0,4832.0,4967.5,4967.5,894000,323000,0.0,0.0,1.36,1.36,12,-26.9
1770372000,0.0,4953.2,4953.2,4902.0,4940.7,4940.7,889000,129000,0.0,0.0,-0.56,-0.56,-5,-26.8
1770631200,0.0,4922.0,5010.0,4922.0,4996.8,4996.8,896000,264000,0.0,0.0,0.79,0.79,7,56.1
1770717600,0.0,4988.6,5038.3,4970.0,5004.7,5004.7,953000,305000,0.0,0.0,6.36,6.36,57,7.9
1770804000,0.0,4901.0,5097.8,4901.0,5042.5,5042.5,983000,406000,0.0,0.0,3.15,3.15,30,37.8
1770890400,0.0,5011.1,5028.0,4961.4,5015.4,5015.4,1042000,294000,0.0,0.0,6.0,6.0,59,-27.1
1770976800,0.0,5021.1,5021.1,4932.2,4968.7,4968.7,1118000,300000,0.0,0.0,7.29,7.29,76,-46.7
1771236000,0.0,4967.8,5015.1,4949.0,4988.3,4988.3,1366000,662000,0.0,0.0,22.18,22.18,248,19.6
1771322400,0.0,4989.2,5044.5,4985.0,5014.6,5014.6,1789000,825000,0.0,0.0,30.97,30.97,423,26.3
1771408800,0.0,5013.8,5030.8,4998.0,5009.7,5009.7,5735000,4548000,0.0,0.0,220.57,220.57,3946,-4.9
1771495200,0.0,4982.7,4986.0,4813.4,4837.3,4837.3,17583000,17108000,0.0,0.0,206.59,206.59,11848,-172.4
1771581600,0.0,4808.8,4908.9,4808.8,4877.9,4877.9,38774000,25389000,0.0,0.0,120.52,120.52,21191,40.6
