time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,129.48,131.5,118.85,120.58,120.58,1789000,1324000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,122.14,124.93,118.0,123.19,123.19,1920000,940000,0.0,0.0,7.32,7.32,131,2.61
1770112800,0.0,130.71,132.01,126.01,126.27,126.27,1921000,685000,0.0,0.0,0.05,0.05,1,3.08
1770199200,0.0,125.19,130.4,125.17,130.2,130.2,2623000,1975000,0.0,0.0,36.54,36.54,702,3.93
1770285600,0.0,129.5,129.66,126.6,128.52,128.52,2616000,1356000,0.0,0.0,-0.27,-0.27,-7,-1.68
1770372000,0.0,127.66,127.8,123.96,127.53,127.53,2937000,2255000,0.0,0.0,12.27,12.27,321,-0.99
1770631200,0.0,128.75,129.5,127.84,128.28,128.28,3019000,454000,0.0,0.0,2.79,2.79,82,0.75
1770717600,0.0,128.32,129.45,126.84,127.37,127.37,3438000,1099000,0.0,0.0,13.88,13.88,419,-0.91
1770804000,0.0,127.1,127.35,121.6,123.54,123.54,4377000,2284000,0.0,0.0,27.31,27.31,939,-3.83
1770890400,0.0,123.75,123.75,119.91,122.57,122.57,4939000,2767000,0.0,0.0,12.84,12.84,562,-0.97
1770976800,0.0,120.82,120.82,116.9,118.66,118.66,5555000,2487000,0.0,0.0,12.47,12.47,616,-3.91
1771236000,0.0,117.67,124.75,117.67,124.18,124.18,5967000,2001000,0.0,0.0,7.42,7.42,412,5.52
1771322400,0.0,123.78,125.35,123.02,125.03,125.03,6620000,1582000,0.0,0.0,10.94,10.94,653,0.85
1771408800,0.0,125.69,126.33,123.74,125.17,125.17,8275000,4109000,0.0,0.0,25.0,25.0,1655,0.14
1771495200,0.0,124.75,125.76,121.67,122.63,122.63,9741000,5751000,0.0,0.0,17.72,17.72,1466,-2.54
1771581600,0.0,122.32,124.75,121.89,123.05,123.05,13051000,7463000,0.0,0.0,33.98,33.98,3310,0.42
