time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1118.8,1153.3,1101.6,1110.3,1110.3,264000,291000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1116.3,1138.0,1091.8,1134.9,1134.9,291000,140000,0.0,0.0,10.23,10.23,27,24.6
1770112800,0.0,1172.1,1179.7,1143.1,1160.5,1160.5,297000,88000,0.0,0.0,2.06,2.06,6,25.6
1770199200,0.0,1165.1,1187.0,1165.1,1176.7,1176.7,338000,141000,0.0,0.0,13.8,13.8,41,16.2
1770285600,0.0,1164.5,1193.0,1164.5,1189.1,1189.1,359000,155000,0.0,0.0,6.21,6.21,21,12.4
1770372000,0.0,1182.4,1197.9,1169.2,1196.4,1196.4,433000,224000,0.0,0.0,20.61,20.61,74,7.3
1770631200,0.0,1201.2,1210.8,1188.9,1198.1,1198.1,461000,200000,0.0,0.0,6.47,6.47,28,1.7
1770717600,0.0,1197.8,1208.6,1191.6,1198.7,1198.7,484000,128000,0.0,0.0,4.99,4.99,23,0.6
1770804000,0.0,1198.7,1205.9,1196.7,1199.5,1199.5,500000,80000,0.0,0.0,3.31,3.31,16,0.8
1770890400,0.0,1200.0,1213.3,1194.6,1210.0,1210.0,560000,207000,0.0,0.0,12.0,12.0,60,10.5
1770976800,0.0,1195.1,1197.6,1174.6,1190.5,1190.5,528000,245000,0.0,0.0,-5.71,-5.71,-32,-19.5
1771236000,0.0,1191.2,1219.5,1185.7,1217.8,1217.8,666000,421000,0.0,0.0,26.14,26.14,138,27.3
1771322400,0.0,1218.0,1220.0,1197.7,1215.9,1215.9,1034000,801000,0.0,0.0,55.26,55.26,368,-1.9
1771408800,0.0,1221.2,1234.3,1217.3,1227.0,1227.0,2131000,1595000,0.0,0.0,106.09,106.09,1097,11.1
1771495200,0.0,1235.8,1236.4,1208.5,1214.3,1214.3,6314000,5833000,0.0,0.0,196.29,196.29,4183,-12.7
1771581600,0.0,1207.0,1236.3,1207.0,1225.9,1225.9,10543000,6172000,0.0,0.0,66.98,66.98,4229,11.6
