time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,529.0,533.65,503.05,511.75,511.75,528000,222000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,511.75,512.5,493.0,502.3,502.3,648000,389000,0.0,0.0,22.73,22.73,120,-9.45
1770112800,0.0,520.4,520.4,508.05,514.45,514.45,744000,326000,0.0,0.0,14.81,14.81,96,12.15
1770199200,0.0,515.0,522.85,515.0,521.25,521.25,769000,290000,0.0,0.0,3.36,3.36,25,6.8
1770285600,0.0,520.65,525.65,519.0,521.55,521.55,1227000,642000,0.0,0.0,59.56,59.56,458,0.3
1770372000,0.0,519.15,527.45,515.7,524.4,524.4,1242000,291000,0.0,0.0,1.22,1.22,15,2.85
1770631200,0.0,524.7,531.75,521.4,528.65,528.65,1454000,482000,0.0,0.0,17.07,17.07,212,4.25
1770717600,0.0,528.2,531.5,525.4,526.95,526.95,1519000,201000,0.0,0.0,4.47,4.47,65,-1.7
1770804000,0.0,525.85,529.5,522.5,529.2,529.2,1827000,612000,0.0,0.0,20.28,20.28,308,2.25
1770890400,0.0,527.05,527.4,519.2,521.05,521.05,2047000,414000,0.0,0.0,12.04,12.04,220,-8.15
1770976800,0.0,516.5,517.0,510.0,511.05,511.05,2174000,290000,0.0,0.0,6.2,6.2,127,-10.0
1771236000,0.0,508.8,516.95,506.75,515.65,515.65,3064000,1213000,0.0,0.0,40.94,40.94,890,4.6
1771322400,0.0,514.95,525.0,513.8,522.55,522.55,4616000,1909000,0.0,0.0,50.65,50.65,1552,6.9
1771408800,0.0,523.05,527.75,521.75,526.1,526.1,6654000,3115000,0.0,0.0,44.15,44.15,2038,3.55
1771495200,0.0,527.25,535.95,520.1,523.9,523.9,11798000,7072000,0.0,0.0,77.31,77.31,5144,-2.2
1771581600,0.0,522.5,533.85,521.1,528.05,528.05,19432000,12200000,0.0,0.0,64.71,64.71,7634,4.15
