time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,2307.0,2319.0,2089.7,2248.0,2248.0,733000,2107000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,2220.0,2372.0,2172.2,2349.0,2349.0,683000,897000,0.0,0.0,-6.82,-6.82,-50,101.0
1770112800,0.0,2540.0,2581.1,2410.0,2458.9,2458.9,713000,857000,0.0,0.0,4.39,4.39,30,109.9
1770199200,0.0,2484.2,2572.7,2481.7,2562.4,2562.4,668000,689000,0.0,0.0,-6.31,-6.31,-45,103.5
1770285600,0.0,2461.0,2493.7,2420.0,2437.7,2437.7,745000,592000,0.0,0.0,11.53,11.53,77,-124.7
1770372000,0.0,2406.8,2419.0,2350.0,2403.7,2403.7,883000,591000,0.0,0.0,18.52,18.52,138,-34.0
1770631200,0.0,2459.7,2475.0,2412.6,2457.9,2457.9,838000,525000,0.0,0.0,-5.1,-5.1,-45,54.2
1770717600,0.0,2457.9,2510.0,2457.9,2486.2,2486.2,859000,650000,0.0,0.0,2.51,2.51,21,28.3
1770804000,0.0,2470.1,2470.1,2369.0,2386.0,2386.0,1253000,1196000,0.0,0.0,45.87,45.87,394,-100.2
1770890400,0.0,2364.4,2468.0,2356.9,2463.2,2463.2,1126000,1042000,0.0,0.0,-10.14,-10.14,-127,77.2
1770976800,0.0,2463.2,2463.2,2337.4,2354.3,2354.3,1411000,1173000,0.0,0.0,25.31,25.31,285,-108.9
1771236000,0.0,2241.9,2374.4,2183.7,2359.9,2359.9,1684000,2315000,0.0,0.0,19.35,19.35,273,5.6
1771322400,0.0,2346.4,2357.2,2290.0,2301.4,2301.4,2325000,1918000,0.0,0.0,38.06,38.06,641,-58.5
1771408800,0.0,2304.0,2366.8,2304.0,2358.6,2358.6,3622000,3338000,0.0,0.0,55.78,55.78,1297,57.2
1771495200,0.0,2423.5,2450.0,2365.3,2374.1,2374.1,8054000,8639000,0.0,0.0,122.36,122.36,4432,15.5
1771581600,0.0,2390.8,2436.0,2380.0,2406.5,2406.5,12026000,7788000,0.0,0.0,49.32,49.32,3972,32.4
