time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,356.05,360.7,340.0,342.8,342.8,1199000,516000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,341.85,351.3,338.0,350.3,350.3,1232000,273000,0.0,0.0,2.75,2.75,33,7.5
1770112800,0.0,362.2,362.2,354.45,359.5,359.5,1406000,583000,0.0,0.0,14.12,14.12,174,9.2
1770199200,0.0,359.55,368.7,359.55,367.15,367.15,1534000,681000,0.0,0.0,9.1,9.1,128,7.65
1770285600,0.0,367.4,370.3,365.25,367.05,367.05,1557000,447000,0.0,0.0,1.5,1.5,23,-0.1
1770372000,0.0,364.9,368.2,363.85,367.7,367.7,1571000,269000,0.0,0.0,0.9,0.9,14,0.65
1770631200,0.0,369.65,370.1,364.45,364.9,364.9,1632000,516000,0.0,0.0,3.88,3.88,61,-2.8
1770717600,0.0,365.7,370.15,365.7,369.5,369.5,1734000,517000,0.0,0.0,6.25,6.25,102,4.6
1770804000,0.0,370.85,371.25,368.8,370.8,370.8,1803000,286000,0.0,0.0,3.98,3.98,69,1.3
1770890400,0.0,371.4,374.35,370.2,371.45,371.45,2025000,540000,0.0,0.0,12.31,12.31,222,0.65
1770976800,0.0,370.5,371.0,365.6,366.1,366.1,2322000,910000,0.0,0.0,14.67,14.67,297,-5.35
1771236000,0.0,366.35,372.5,366.05,371.9,371.9,3149000,1520000,0.0,0.0,35.62,35.62,827,5.8
1771322400,0.0,372.5,372.5,369.2,370.9,370.9,3991000,1657000,0.0,0.0,26.74,26.74,842,-1.0
1771408800,0.0,371.15,373.1,369.9,371.25,371.25,6549000,3562000,0.0,0.0,64.09,64.09,2558,0.35
1771495200,0.0,370.15,373.65,364.65,365.8,365.8,17190000,14025000,0.0,0.0,162.48,162.48,10641,-5.45
1771581600,0.0,365.8,375.25,365.8,374.15,374.15,35634000,23532000,0.0,0.0,107.29,107.29,18444,8.35
