time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,7743.5,7879.0,7645.5,7814.5,7814.5,277000,84000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,7735.5,7801.5,7692.5,7791.5,7791.5,298000,80000,0.0,0.0,7.58,7.58,21,-23.0
1770112800,0.0,7918.0,8087.0,7874.0,7886.5,7886.5,294000,83000,0.0,0.0,-1.34,-1.34,-4,95.0
1770199200,0.0,7691.0,7691.0,7500.5,7558.5,7558.5,448000,362000,0.0,0.0,52.38,52.38,154,-328.0
1770285600,0.0,7525.0,7565.0,7468.0,7488.5,7488.5,491000,148000,0.0,0.0,9.6,9.6,43,-70.0
1770372000,0.0,7479.0,7479.0,7180.0,7286.5,7286.5,659000,487000,0.0,0.0,34.22,34.22,168,-202.0
1770631200,0.0,7332.5,7361.5,7278.0,7289.5,7289.5,719000,200000,0.0,0.0,9.1,9.1,60,3.0
1770717600,0.0,7343.0,7410.0,7310.5,7388.0,7388.0,735000,185000,0.0,0.0,2.23,2.23,16,98.5
1770804000,0.0,7312.0,7401.5,7211.0,7227.5,7227.5,859000,357000,0.0,0.0,16.87,16.87,124,-160.5
1770890400,0.0,7175.0,7175.0,6750.0,6769.5,6769.5,1582000,1780000,0.0,0.0,84.17,84.17,723,-458.0
1770976800,0.0,6582.0,6706.0,6395.5,6620.0,6620.0,1926000,1366000,0.0,0.0,21.74,21.74,344,-149.5
1771236000,0.0,6623.5,6766.0,6600.0,6734.5,6734.5,2357000,1127000,0.0,0.0,22.38,22.38,431,114.5
1771322400,0.0,6698.5,6943.0,6698.5,6861.5,6861.5,2851000,1396000,0.0,0.0,20.96,20.96,494,127.0
1771408800,0.0,6860.5,6864.5,6705.5,6744.5,6744.5,3710000,1512000,0.0,0.0,30.13,30.13,859,-117.0
1771495200,0.0,6788.0,6815.0,6649.0,6690.0,6690.0,8512000,9940000,0.0,0.0,129.43,129.43,4802,-54.5
1771581600,0.0,6654.5,6690.0,6582.5,6624.0,6624.0,15553000,10014000,0.0,0.0,82.72,82.72,7041,-66.0
