time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1085.5,1093.5,1000.0,1027.4,1027.4,4247000,3175000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1019.4,1041.5,1000.5,1039.2,1039.2,4976000,2587000,0.0,0.0,17.17,17.17,729,11.8
1770112800,0.0,1083.1,1099.0,1050.0,1071.8,1071.8,5165000,1458000,0.0,0.0,3.8,3.8,189,32.6
1770199200,0.0,1068.9,1080.8,1066.7,1076.5,1076.5,5708000,1166000,0.0,0.0,10.51,10.51,543,4.7
1770285600,0.0,1079.0,1088.4,1076.0,1081.4,1081.4,5802000,909000,0.0,0.0,1.65,1.65,94,4.9
1770372000,0.0,1081.0,1081.7,1059.4,1074.0,1074.0,5921000,1056000,0.0,0.0,2.05,2.05,119,-7.4
1770631200,0.0,1115.5,1154.2,1106.6,1152.3,1152.3,7587000,5523000,0.0,0.0,28.14,28.14,1666,78.3
1770717600,0.0,1155.0,1159.4,1145.4,1149.6,1149.6,7900000,1687000,0.0,0.0,4.13,4.13,313,-2.7
1770804000,0.0,1152.7,1192.0,1149.8,1187.6,1187.6,9917000,6486000,0.0,0.0,25.53,25.53,2017,38.0
1770890400,0.0,1184.5,1207.1,1181.0,1196.4,1196.4,11744000,5322000,0.0,0.0,18.42,18.42,1827,8.8
1770976800,0.0,1190.4,1203.3,1190.0,1201.1,1201.1,12520000,3055000,0.0,0.0,6.61,6.61,776,4.7
1771236000,0.0,1195.0,1214.0,1189.3,1212.7,1212.7,13916000,4295000,0.0,0.0,11.15,11.15,1396,11.6
1771322400,0.0,1240.0,1240.0,1208.5,1216.6,1216.6,16568000,7003000,0.0,0.0,19.06,19.06,2652,3.9
1771408800,0.0,1225.5,1226.2,1216.7,1222.0,1222.0,20684000,7805000,0.0,0.0,24.84,24.84,4116,5.4
1771495200,0.0,1224.2,1226.8,1206.7,1211.9,1211.9,33086000,18984000,0.0,0.0,59.96,59.96,12402,-10.1
1771581600,0.0,1208.0,1223.1,1208.0,1220.6,1220.6,49860000,29135000,0.0,0.0,50.7,50.7,16774,8.7
