time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,1146.4,1159.7,1083.0,1092.8,1092.8,505000,267000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,1095.7,1138.0,1092.8,1134.6,1134.6,533000,147000,0.0,0.0,5.54,5.54,28,41.8
1770112800,0.0,1188.0,1188.0,1149.4,1165.0,1165.0,567000,230000,0.0,0.0,6.38,6.38,34,30.4
1770199200,0.0,1163.0,1181.0,1162.9,1165.8,1165.8,599000,162000,0.0,0.0,5.64,5.64,32,0.8
1770285600,0.0,1163.2,1174.4,1156.8,1168.2,1168.2,669000,151000,0.0,0.0,11.69,11.69,70,2.4
1770372000,0.0,1163.7,1169.9,1157.7,1169.0,1169.0,710000,92000,0.0,0.0,6.13,6.13,41,0.8
1770631200,0.0,1169.2,1184.6,1169.0,1176.0,1176.0,789000,271000,0.0,0.0,11.13,11.13,79,7.0
1770717600,0.0,1175.6,1175.6,1159.3,1162.8,1162.8,946000,282000,0.0,0.0,19.9,19.9,157,-13.2
1770804000,0.0,1165.2,1175.0,1161.2,1163.4,1163.4,948000,81000,0.0,0.0,0.21,0.21,2,0.6
1770890400,0.0,1162.2,1163.9,1153.3,1159.2,1159.2,969000,95000,0.0,0.0,2.22,2.22,21,-4.2
1770976800,0.0,1166.5,1166.5,1136.6,1141.9,1141.9,1032000,209000,0.0,0.0,6.5,6.5,63,-17.3
1771236000,0.0,1130.1,1152.0,1130.1,1150.4,1150.4,1473000,751000,0.0,0.0,42.73,42.73,441,8.5
1771322400,0.0,1150.0,1160.0,1140.6,1155.7,1155.7,1660000,361000,0.0,0.0,12.7,12.7,187,5.3
1771408800,0.0,1154.1,1179.6,1154.1,1176.9,1176.9,2208000,989000,0.0,0.0,33.01,33.01,548,21.2
1771495200,0.0,1170.1,1175.0,1159.0,1164.7,1164.7,9425000,8179000,0.0,0.0,326.86,326.86,7217,-12.2
1771581600,0.0,1169.7,1174.7,1156.6,1164.3,1164.3,15846000,8776000,0.0,0.0,68.13,68.13,6421,-0.4
