time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,5325.0,5619.0,5324.0,5448.0,5448.0,282000,180000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,5448.0,5481.5,5380.0,5466.0,5466.0,283000,90000,0.0,0.0,0.35,0.35,1,18.0
1770112800,0.0,5545.5,5638.5,5489.0,5551.5,5551.5,314000,155000,0.0,0.0,10.95,10.95,31,85.5
1770199200,0.0,5400.0,5544.0,5334.5,5525.5,5525.5,417000,568000,0.0,0.0,32.8,32.8,103,-26.0
1770285600,0.0,5546.5,5572.0,5408.5,5420.0,5420.0,738000,658000,0.0,0.0,76.98,76.98,321,-105.5
1770372000,0.0,5362.0,5365.0,5102.0,5197.0,5197.0,1472000,1844000,0.0,0.0,99.46,99.46,734,-223.0
1770631200,0.0,5234.0,5259.0,5190.0,5230.5,5230.5,1856000,937000,0.0,0.0,26.09,26.09,384,33.5
1770717600,0.0,5233.0,5402.0,5230.0,5375.5,5375.5,1942000,562000,0.0,0.0,4.63,4.63,86,145.0
1770804000,0.0,5371.0,5371.0,5217.5,5232.0,5232.0,2304000,716000,0.0,0.0,18.64,18.64,362,-143.5
1770890400,0.0,5134.5,5134.5,4933.0,4959.0,4959.0,3692000,2476000,0.0,0.0,60.24,60.24,1388,-273.0
1770976800,0.0,4810.0,4878.0,4727.5,4800.5,4800.5,4432000,1578000,0.0,0.0,20.04,20.04,740,-158.5
1771236000,0.0,4810.0,4830.0,4736.0,4810.0,4810.0,4881000,941000,0.0,0.0,10.13,10.13,449,9.5
1771322400,0.0,4811.0,5049.5,4799.5,4914.0,4914.0,5379000,1796000,0.0,0.0,10.2,10.2,498,104.0
1771408800,0.0,4914.5,4914.5,4806.0,4881.5,4881.5,6323000,2123000,0.0,0.0,17.55,17.55,944,-32.5
1771495200,0.0,4906.5,4959.0,4801.5,4828.0,4828.0,8140000,5631000,0.0,0.0,28.74,28.74,1817,-53.5
1771581600,0.0,4800.0,4893.0,4770.5,4839.0,4839.0,11145000,7836000,0.0,0.0,36.92,36.92,3005,11.0
