time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,0.0,635.0,675.25,617.85,655.85,655.85,3048000,2639000,0.0,0.0,0.0,0.0,0,0.0
1770026400,0.0,653.0,676.5,644.8,665.35,665.35,3319000,1760000,0.0,0.0,8.89,8.89,271,9.5
1770112800,0.0,686.0,692.55,656.35,677.85,677.85,4019000,2492000,0.0,0.0,21.09,21.09,700,12.5
1770199200,0.0,682.9,695.7,682.8,689.5,689.5,4059000,987000,0.0,0.0,1.0,1.0,40,11.65
1770285600,0.0,654.9,665.55,646.15,658.0,658.0,4239000,1572000,0.0,0.0,4.43,4.43,180,-31.5
1770372000,0.0,645.0,675.3,644.3,672.85,672.85,4405000,1128000,0.0,0.0,3.92,3.92,166,14.85
1770631200,0.0,682.0,687.85,672.15,681.45,681.45,4507000,805000,0.0,0.0,2.32,2.32,102,8.6
1770717600,0.0,682.0,694.6,678.15,692.35,692.35,4593000,928000,0.0,0.0,1.91,1.91,86,10.9
1770804000,0.0,692.35,708.0,692.0,704.95,704.95,4796000,1169000,0.0,0.0,4.42,4.42,203,12.6
1770890400,0.0,701.75,710.95,700.2,705.2,705.2,4872000,1120000,0.0,0.0,1.58,1.58,76,0.25
1770976800,0.0,682.6,682.8,668.35,676.65,676.65,5691000,2839000,0.0,0.0,16.81,16.81,819,-28.55
1771236000,0.0,670.0,685.0,669.8,683.2,683.2,7530000,2903000,0.0,0.0,32.31,32.31,1839,6.55
1771322400,0.0,674.3,676.65,662.3,671.4,671.4,9032000,2937000,0.0,0.0,19.95,19.95,1502,-11.8
1771408800,0.0,673.0,680.9,671.4,679.35,679.35,10596000,2862000,0.0,0.0,17.32,17.32,1564,7.95
1771495200,0.0,683.2,689.9,676.0,677.8,677.8,22653000,15613000,0.0,0.0,113.79,113.79,12057,-1.55
1771581600,0.0,671.0,684.4,671.0,683.3,683.3,34450000,16553000,0.0,0.0,52.08,52.08,11797,5.5
