time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1908.8,1967.2,1970.0,1928.5,1934.3,25.5,57000,27000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1930.1,1917.7,1950.1,1917.0,1950.1,20.0,63000,8000,0.0,0.0,10.53,10.53,6,15.8
1770112800,2012.7,2035.7,2062.1,2035.7,2048.3,35.6,68000,89000,0.0,0.0,7.94,7.94,5,98.2
1770199200,2019.6,2025.0,2062.3,2025.0,2050.0,30.4,74000,18000,0.0,0.0,8.82,8.82,6,1.7
1770285600,2000.1,2048.2,2050.0,2027.2,2033.0,32.9,82000,14000,0.0,0.0,10.81,10.81,8,-17.0
1770372000,2024.2,2033.0,2050.9,2012.4,2050.8,26.6,92000,20000,0.0,0.0,12.2,12.2,10,17.8
1770631200,2024.6,2053.1,2055.8,2051.0,2055.1,30.5,98000,6000,0.0,0.0,6.52,6.52,6,4.3
1770717600,2027.9,2051.3,2056.1,2049.3,2056.1,28.2,104000,9000,0.0,0.0,6.12,6.12,6,1.0
1770804000,2027,2059.3,2075.0,2054.0,2055.0,28.0,112000,18000,0.0,0.0,7.69,7.69,8,-1.1
1770890400,2037.1,2057.0,2072.2,2056.0,2067.8,30.7,111000,24000,0.0,0.0,-0.89,-0.89,-1,12.8
1770976800,2023.2,2059.3,2060.1,2047.0,2057.2,34.0,121000,17000,0.0,0.0,9.01,9.01,10,-10.6
1771236000,2050.9,2070.0,2077.7,2062.9,2077.5,26.6,126000,26000,0.0,0.0,4.13,4.13,5,20.3
1771322400,2044.4,2066.0,2078.1,2066.0,2071.7,27.3,126000,8000,0.0,0.0,0.0,0.0,0,-5.8
1771408800,2060.6,2080.1,2090.4,2076.3,2086.1,25.5,141000,47000,0.0,0.0,11.9,11.9,15,14.4
1771495200,2033.2,2087.6,2087.6,2055.1,2056.4,23.2,152000,31000,0.0,0.0,7.8,7.8,11,-29.7
1771581600,2058.5,2063.1,2086.0,2050.5,2081.7,23.2,151000,47000,0.0,0.0,-0.66,-0.66,-1,25.3
1772445600,1941.9,2008.9,2008.9,1951.5,1959.4,17.5,419000,268000,0.0,0.0,177.48,177.48,268,-122.3
1772618400,1889.3,1917.7,1918.2,1881.0,1903.7,14.4,574000,416000,0.0,0.0,36.99,36.99,155,-55.7
1772704800,1911.8,1909.8,1938.3,1900.1,1929.4,17.6,536000,415000,0.0,0.0,-6.62,-6.62,-38,25.7
1772791200,1868.9,1917.0,1924.8,1880.0,1882.5,13.6,731000,348000,0.0,0.0,36.38,36.38,195,-46.9
1773050400,1841.5,1837.7,1858.9,1818.6,1856.0,14.5,761000,259000,0.0,0.0,4.1,4.1,30,-26.5
1773136800,1867.8,1867.5,1888.9,1855.8,1885.3,17.5,833000,202000,0.0,0.0,9.46,9.46,72,29.3
1773223200,1795.3,1874.2,1881.1,1807.3,1809.8,14.5,1048000,476000,0.0,0.0,25.81,25.81,215,-75.5
1773309600,1770.8,1795.6,1809.0,1780.0,1783.5,12.7,1145000,373000,0.0,0.0,9.26,9.26,97,-26.3
1773396000,1738,1781.0,1792.2,1741.9,1750.6,12.6,1867000,927000,0.0,0.0,63.06,63.06,722,-32.9
1773655200,1773.9,1760.9,1795.0,1743.4,1785.0,11.1,2083000,608000,0.0,0.0,11.57,11.57,216,34.4
1773741600,1774.7,1790.0,1793.1,1772.2,1785.3,10.6,2177000,293000,0.0,0.0,4.51,4.51,94,0.3
