time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,368.2,371.25,382.0,370.0,375.3,7.1,25000,49000,0.0,0.0,0.0,0.0,0,0.0
1770026400,370.15,368.75,371.05,366.6,371.05,0.9,30000,19000,0.0,0.0,20.0,20.0,5,-4.25
1770112800,372.3,383.8,385.0,377.4,378.35,6.05,32000,34000,0.0,0.0,6.67,6.67,2,7.3
1770199200,368.55,376.45,381.6,372.4,374.2,5.65,53000,24000,0.0,0.0,65.62,65.62,21,-4.15
1770285600,367.8,372.0,373.5,369.0,373.25,5.45,62000,24000,0.0,0.0,16.98,16.98,9,-0.95
1770372000,365.4,370.75,371.55,367.0,371.2,5.8,66000,20000,0.0,0.0,6.45,6.45,4,-2.05
1770631200,373.95,373.15,380.4,373.0,376.7,2.75,69000,59000,0.0,0.0,4.55,4.55,3,5.5
1770717600,371.05,378.0,378.0,373.0,376.5,5.45,78000,21000,0.0,0.0,13.04,13.04,9,-0.2
1770804000,375.2,374.5,381.5,374.05,380.45,5.25,76000,21000,0.0,0.0,-2.56,-2.56,-2,3.95
1770890400,375.05,379.2,393.8,377.65,381.35,6.3,113000,118000,0.0,0.0,48.68,48.68,37,0.9
1770976800,377.95,383.75,386.5,378.55,383.5,5.55,91000,96000,0.0,0.0,-19.47,-19.47,-22,2.15
1771236000,380.35,388.5,389.25,384.5,385.35,5.0,95000,38000,0.0,0.0,4.4,4.4,4,1.85
1771322400,379.35,385.45,385.45,383.15,383.95,4.6,100000,14000,0.0,0.0,5.26,5.26,5,-1.4
1771408800,378.95,383.95,386.35,381.2,384.5,5.55,105000,42000,0.0,0.0,5.0,5.0,5,0.55
1771495200,382.65,385.1,391.35,384.85,386.2,3.55,131000,78000,0.0,0.0,24.76,24.76,26,1.7
1771581600,383.95,387.8,392.95,386.35,388.8,4.85,151000,69000,0.0,0.0,15.27,15.27,20,2.6
1772445600,387.95,390.7,393.95,388.7,392.2,4.25,404000,124000,0.0,0.0,167.55,167.55,253,3.4
1772618400,378.35,387.95,387.95,379.55,382.1,3.75,487000,244000,0.0,0.0,20.54,20.54,83,-10.1
1772704800,386.8,384.6,391.7,383.9,391.0,4.2,480000,163000,0.0,0.0,-1.44,-1.44,-7,8.9
1772791200,390.7,391.75,397.0,391.75,393.6,2.9,499000,144000,0.0,0.0,3.96,3.96,19,2.6
1773050400,389.7,385.5,395.5,382.5,393.95,4.25,506000,260000,0.0,0.0,1.4,1.4,7,0.35
1773136800,395.8,396.95,401.35,396.55,400.25,4.45,486000,196000,0.0,0.0,-3.95,-3.95,-20,6.3
1773223200,395.35,401.0,406.5,398.5,399.4,4.05,764000,543000,0.0,0.0,57.2,57.2,278,-0.85
1773309600,392.2,396.1,400.9,392.7,395.8,3.6,846000,322000,0.0,0.0,10.73,10.73,82,-3.6
1773396000,383.55,398.9,400.85,385.75,386.65,3.1,1016000,490000,0.0,0.0,20.09,20.09,170,-9.15
1773655200,377.05,388.5,390.6,372.1,380.6,3.55,1087000,696000,0.0,0.0,6.99,6.99,71,-6.05
1773741600,377.55,382.0,385.25,378.35,380.6,3.05,1143000,226000,0.0,0.0,5.15,5.15,56,0.0
