time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,359.45,367.95,367.95,354.85,363.0,3.55,17000,28000,0.0,0.0,0.0,0.0,0,0.0
1770026400,366.7,361.95,371.45,361.95,371.25,4.55,28000,42000,0.0,0.0,64.71,64.71,11,8.25
1770112800,373.45,371.25,378.5,363.25,378.1,4.65,52000,140000,0.0,0.0,85.71,85.71,24,6.85
1770199200,382.45,378.0,387.2,378.0,386.3,3.85,71000,128000,0.0,0.0,36.54,36.54,19,8.2
1770285600,382.05,390.0,394.9,383.6,386.5,4.45,96000,75000,0.0,0.0,35.21,35.21,25,0.2
1770372000,386.35,390.0,390.25,387.3,389.85,3.5,110000,33000,0.0,0.0,14.58,14.58,14,3.35
1770631200,388.3,389.85,392.6,387.0,391.75,3.45,96000,59000,0.0,0.0,-12.73,-12.73,-14,1.9
1770717600,386.35,385.95,390.0,385.95,390.0,3.65,100000,21000,0.0,0.0,4.17,4.17,4,-1.75
1770804000,387.6,391.9,393.8,390.25,391.5,3.9,97000,30000,0.0,0.0,-3.0,-3.0,-3,1.5
1770890400,377.7,391.5,391.5,379.0,381.75,4.05,117000,66000,0.0,0.0,20.62,20.62,20,-9.75
1770976800,374.1,381.75,381.75,378.05,378.7,4.6,119000,28000,0.0,0.0,1.71,1.71,2,-3.05
1771236000,374.35,376.85,378.95,374.45,378.95,4.6,120000,29000,0.0,0.0,0.84,0.84,1,0.25
1771322400,374.95,376.1,379.55,371.4,379.1,4.15,127000,43000,0.0,0.0,5.83,5.83,7,0.15
1771408800,380.9,382.0,385.0,381.0,384.85,3.95,131000,53000,0.0,0.0,3.15,3.15,4,5.75
1771495200,367.65,380.55,380.7,368.65,370.25,2.6,157000,138000,0.0,0.0,19.85,19.85,26,-14.6
1771581600,366.3,369.0,372.0,366.8,370.35,4.05,161000,46000,0.0,0.0,2.55,2.55,4,0.1
1772445600,374.8,371.0,379.85,371.0,377.35,2.55,212000,264000,0.0,0.0,31.68,31.68,51,7.0
1772618400,356.4,368.0,369.9,357.6,359.0,2.6,203000,205000,0.0,0.0,-4.25,-4.25,-9,-18.35
1772704800,360.35,359.5,365.3,354.7,363.3,2.95,241000,295000,0.0,0.0,18.72,18.72,38,4.3
1772791200,352.75,363.3,363.45,353.75,354.75,2.0,294000,235000,0.0,0.0,21.99,21.99,53,-8.55
1773050400,331.15,342.0,342.0,326.85,334.35,3.2,408000,667000,0.0,0.0,38.78,38.78,114,-20.4
1773136800,325.9,342.0,342.0,327.9,329.45,3.55,517000,381000,0.0,0.0,26.72,26.72,109,-4.9
1773223200,325.05,331.8,332.0,326.25,327.35,2.3,572000,213000,0.0,0.0,10.64,10.64,55,-2.1
1773309600,326.35,320.0,333.4,316.75,328.95,2.6,624000,293000,0.0,0.0,9.09,9.09,52,1.6
1773396000,319.3,325.75,326.95,321.25,321.9,2.6,627000,154000,0.0,0.0,0.48,0.48,3,-7.05
1773655200,304.95,320.0,320.0,304.1,307.75,2.8,774000,611000,0.0,0.0,23.44,23.44,147,-14.15
1773741600,300.05,307.8,307.8,300.9,302.65,2.6,1401000,960000,0.0,0.0,81.01,81.01,627,-5.1
