time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,2000.7,2086.6,2108.7,1963.5,2085.3,84.6,8000,6000,0.0,0.0,0.0,0.0,0,0.0
1770026400,2063.4,2061.4,2075.0,2061.4,2075.0,11.6,8000,3000,0.0,0.0,0.0,0.0,0,-10.3
1770112800,2110.6,2126.0,2126.0,2126.0,2126.0,15.4,9000,1000,0.0,0.0,12.5,12.5,1,51.0
1770199200,2141.2,2140.0,2140.0,2140.0,2140.0,-1.2,10000,1000,0.0,0.0,11.11,11.11,1,14.0
1770285600,2153.6,2177.3,2180.0,2166.4,2180.0,26.4,12000,5000,0.0,0.0,20.0,20.0,2,40.0
1770372000,2118.3,2140.0,2140.0,2140.0,2140.0,21.7,10000,2000,0.0,0.0,-16.67,-16.67,-2,-40.0
1770631200,2195.7,2228.9,2228.9,2228.9,2228.9,33.2,11000,1000,0.0,0.0,10.0,10.0,1,88.9
1770717600,2191.4,2223.3,2230.6,2223.3,2230.6,39.2,12000,3000,0.0,0.0,9.09,9.09,1,1.7
1770804000,2175.2,2202.0,2207.9,2202.0,2207.9,32.7,14000,4000,0.0,0.0,16.67,16.67,2,-22.7
1771581600,2070,2104.4,2104.4,2090.8,2091.9,21.9,16000,5000,0.0,0.0,14.29,14.29,2,-116.0
1772445600,1959.5,1942.3,1993.5,1939.0,1976.5,17.0,65000,56000,0.0,0.0,306.25,306.25,49,-115.4
1772618400,1895.7,1921.8,1924.7,1904.2,1912.0,16.3,78000,57000,0.0,0.0,20.0,20.0,13,-64.5
1772704800,1928.7,1910.1,1949.5,1888.3,1946.0,17.3,85000,76000,0.0,0.0,8.97,8.97,7,34.0
1772791200,1899.8,1943.5,1947.7,1915.0,1917.4,17.6,94000,73000,0.0,0.0,10.59,10.59,9,-28.6
1773050400,1840.2,1850.0,1865.6,1840.4,1855.9,15.7,102000,51000,0.0,0.0,8.51,8.51,8,-61.5
1773136800,1849,1903.1,1903.1,1852.8,1869.0,20.0,125000,123000,0.0,0.0,22.55,22.55,23,13.1
1773223200,1855.9,1855.2,1896.4,1855.2,1871.1,15.2,300000,398000,0.0,0.0,140.0,140.0,175,2.1
1773309600,1894.5,1831.2,1913.3,1831.2,1909.6,15.1,531000,321000,0.0,0.0,77.0,77.0,231,38.5
1773396000,1839.9,1883.6,1885.4,1840.9,1849.2,9.3,578000,136000,0.0,0.0,8.85,8.85,47,-60.4
1773655200,1853,1869.9,1879.4,1818.0,1865.6,12.6,2087000,1703000,0.0,0.0,261.07,261.07,1509,16.4
1773741600,1854.9,1862.0,1872.8,1858.9,1866.8,11.9,2117000,84000,0.0,0.0,1.44,1.44,30,1.2
