time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1178.7,1234.0,1234.0,1201.7,1201.7,23.0,16000,7000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1182.5,1198.4,1207.9,1191.9,1199.7,17.2,31000,23000,0.0,0.0,93.75,93.75,15,-2.0
1770112800,1235.4,1245.9,1251.8,1233.8,1250.2,14.8,28000,29000,0.0,0.0,-9.68,-9.68,-3,50.5
1770199200,1240.2,1255.0,1260.0,1254.4,1256.4,16.2,35000,11000,0.0,0.0,25.0,25.0,7,6.2
1770285600,1244.9,1256.8,1264.6,1256.8,1259.8,14.9,36000,7000,0.0,0.0,2.86,2.86,1,3.4
1770372000,1241.2,1253.0,1253.9,1244.2,1253.9,12.7,34000,15000,0.0,0.0,-5.56,-5.56,-2,-5.9
1770631200,1275.5,1266.7,1289.4,1266.7,1287.3,11.8,32000,19000,0.0,0.0,-5.88,-5.88,-2,33.4
1770717600,1256,1290.2,1290.7,1268.0,1272.0,16.0,46000,29000,0.0,0.0,43.75,43.75,14,-15.3
1770804000,1270.3,1272.0,1287.5,1272.0,1287.5,17.2,47000,11000,0.0,0.0,2.17,2.17,1,15.5
1770890400,1274.9,1288.2,1289.0,1287.1,1287.5,12.6,49000,6000,0.0,0.0,4.26,4.26,2,0.0
1770976800,1268.1,1284.6,1292.8,1282.1,1284.7,16.6,56000,54000,0.0,0.0,14.29,14.29,7,-2.8
1771236000,1269.4,1283.0,1288.0,1282.0,1283.0,13.6,56000,4000,0.0,0.0,0.0,0.0,0,-1.7
1771322400,1284.8,1283.0,1297.5,1281.0,1297.4,12.6,56000,27000,0.0,0.0,0.0,0.0,0,14.4
1771408800,1280.3,1300.1,1304.0,1293.0,1296.0,15.7,59000,8000,0.0,0.0,5.36,5.36,3,-1.4
1771495200,1282.3,1305.7,1305.7,1295.9,1297.0,14.7,64000,16000,0.0,0.0,8.47,8.47,5,1.0
1771581600,1280.4,1299.2,1305.7,1297.4,1299.2,18.8,64000,30000,0.0,0.0,0.0,0.0,0,2.2
1772445600,1294.4,1297.6,1310.7,1282.7,1306.5,12.1,290000,164000,0.0,0.0,353.12,353.12,226,7.3
1772618400,1291.2,1289.2,1303.1,1285.7,1301.9,10.7,311000,74000,0.0,0.0,7.24,7.24,21,-4.6
1772704800,1313.5,1307.1,1334.8,1306.2,1325.8,12.3,283000,156000,0.0,0.0,-9.0,-9.0,-28,23.9
1772791200,1303.8,1323.3,1325.8,1307.3,1316.3,12.5,309000,90000,0.0,0.0,9.19,9.19,26,-9.5
1773050400,1287,1298.6,1303.6,1287.8,1299.6,12.6,314000,133000,0.0,0.0,1.62,1.62,5,-16.7
1773136800,1314.6,1304.9,1337.0,1304.9,1323.9,9.3,312000,234000,0.0,0.0,-0.64,-0.64,-2,24.3
1773223200,1325.5,1337.0,1345.0,1330.0,1334.2,8.7,339000,168000,0.0,0.0,8.65,8.65,27,10.3
1773309600,1319,1319.3,1342.7,1316.1,1332.4,13.4,413000,214000,0.0,0.0,21.83,21.83,74,-1.8
1773396000,1292.3,1327.5,1332.7,1293.2,1301.1,8.8,454000,184000,0.0,0.0,9.93,9.93,41,-31.3
1773655200,1276.9,1301.1,1304.2,1277.5,1284.5,7.6,487000,187000,0.0,0.0,7.27,7.27,33,-16.6
1773741600,1283.8,1278.0,1298.9,1275.4,1292.0,8.2,530000,161000,0.0,0.0,8.83,8.83,43,7.5
