time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1102,1126.6,1157.5,1115.5,1120.6,18.6,59000,62000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1125.1,1123.7,1142.9,1102.1,1139.7,14.6,70000,35000,0.0,0.0,18.64,18.64,11,19.1
1770112800,1149.7,1167.5,1175.0,1153.3,1166.1,16.4,71000,25000,0.0,0.0,1.43,1.43,1,26.4
1770199200,1167.3,1180.8,1194.8,1178.3,1180.8,13.5,77000,24000,0.0,0.0,8.45,8.45,6,14.7
1770285600,1178,1178.2,1199.5,1175.0,1194.7,16.7,67000,39000,0.0,0.0,-12.99,-12.99,-10,13.9
1770372000,1189.9,1183.5,1204.2,1180.0,1203.2,13.3,68000,24000,0.0,0.0,1.49,1.49,1,8.5
1770631200,1191.1,1201.3,1216.7,1195.7,1203.6,12.5,70000,21000,0.0,0.0,2.94,2.94,2,0.4
1770717600,1191.4,1205.0,1217.8,1205.0,1207.9,16.5,71000,18000,0.0,0.0,1.43,1.43,1,4.3
1770804000,1190.5,1207.9,1212.2,1204.5,1204.8,14.3,71000,10000,0.0,0.0,0.0,0.0,0,-3.1
1770890400,1203.4,1210.0,1218.5,1210.0,1216.0,12.6,71000,15000,0.0,0.0,0.0,0.0,0,11.2
1770976800,1184.7,1201.0,1201.0,1183.9,1197.6,12.9,58000,30000,0.0,0.0,-18.31,-18.31,-13,-18.4
1771236000,1210.9,1202.0,1226.9,1202.0,1226.9,16.0,69000,30000,0.0,0.0,18.97,18.97,11,29.3
1771322400,1211,1216.0,1226.0,1204.9,1221.2,10.2,67000,30000,0.0,0.0,-2.9,-2.9,-2,-5.7
1771408800,1221.8,1230.5,1240.0,1230.5,1232.7,10.9,77000,39000,0.0,0.0,14.93,14.93,10,11.5
1771495200,1211.1,1241.0,1241.4,1217.2,1219.7,8.6,72000,27000,0.0,0.0,-6.49,-6.49,-5,-13.0
1771581600,1217.1,1222.3,1240.0,1222.3,1232.5,15.4,90000,31000,0.0,0.0,25.0,25.0,18,12.8
1772445600,1237.8,1245.5,1267.5,1245.5,1250.7,12.9,164000,79000,0.0,0.0,82.22,82.22,74,18.2
1772618400,1168.4,1229.5,1229.5,1173.0,1178.2,9.8,162000,194000,0.0,0.0,-1.22,-1.22,-2,-72.5
1772704800,1184,1187.1,1204.9,1181.7,1195.8,11.8,169000,100000,0.0,0.0,4.32,4.32,7,17.6
1772791200,1180.4,1193.7,1204.0,1190.0,1191.1,10.7,176000,47000,0.0,0.0,4.14,4.14,7,-4.7
1773050400,1144.1,1169.9,1169.9,1142.2,1156.6,12.5,176000,150000,0.0,0.0,0.0,0.0,0,-34.5
1773136800,1187.2,1178.0,1200.0,1174.2,1198.0,10.8,217000,197000,0.0,0.0,23.3,23.3,41,41.4
1773223200,1187,1206.4,1215.6,1192.3,1193.9,6.9,229000,179000,0.0,0.0,5.53,5.53,12,-4.1
1773309600,1225,1182.4,1240.1,1175.0,1233.7,8.7,292000,222000,0.0,0.0,27.51,27.51,63,39.8
1773396000,1143.3,1226.4,1226.4,1147.6,1155.7,12.4,313000,391000,0.0,0.0,7.19,7.19,21,-78.0
1773655200,1133,1153.7,1165.0,1134.5,1141.7,8.7,347000,187000,0.0,0.0,10.86,10.86,34,-14.0
1773741600,1157.3,1145.0,1170.0,1140.3,1167.3,10.0,361000,211000,0.0,0.0,4.03,4.03,14,25.6
