time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,440.8,459.85,464.4,443.2,444.9,4.1,19000,13000,0.0,0.0,0.0,0.0,0,0.0
1770026400,451.5,450.5,458.0,448.0,457.25,5.75,22000,7000,0.0,0.0,15.79,15.79,3,12.35
1770112800,459.15,465.65,471.05,462.0,466.6,7.45,27000,17000,0.0,0.0,22.73,22.73,5,9.35
1770199200,468.85,466.6,476.0,466.6,475.5,6.65,30000,6000,0.0,0.0,11.11,11.11,3,8.9
1770285600,473.95,480.25,480.25,470.55,479.7,5.75,33000,18000,0.0,0.0,10.0,10.0,3,4.2
1770372000,473.15,473.6,478.9,471.75,478.85,5.7,33000,4000,0.0,0.0,0.0,0.0,0,-0.85
1770631200,480.1,482.4,486.0,482.4,486.0,5.9,37000,16000,0.0,0.0,12.12,12.12,4,7.15
1770717600,483.7,487.0,490.3,486.85,490.3,6.6,40000,7000,0.0,0.0,8.11,8.11,3,4.3
1770804000,482.35,487.0,488.0,484.0,484.0,1.65,41000,3000,0.0,0.0,2.5,2.5,1,-6.3
1770890400,479.5,486.5,486.65,482.05,486.6,7.1,40000,8000,0.0,0.0,-2.44,-2.44,-1,2.6
1770976800,474.7,478.3,480.95,476.35,480.0,5.3,43000,9000,0.0,0.0,7.5,7.5,3,-6.6
1771236000,489.95,484.0,497.15,484.0,495.9,5.95,46000,20000,0.0,0.0,6.98,6.98,3,15.9
1771322400,487.35,495.4,495.4,491.0,491.8,4.45,47000,7000,0.0,0.0,2.17,2.17,1,-4.1
1771408800,486.25,494.15,494.15,490.4,490.6,4.35,47000,4000,0.0,0.0,0.0,0.0,0,-1.2
1771495200,480.1,498.7,499.6,483.6,484.35,4.25,54000,34000,0.0,0.0,14.89,14.89,7,-6.25
1771581600,493.95,486.8,498.5,486.3,497.95,4.0,49000,29000,0.0,0.0,-9.26,-9.26,-5,13.6
1772445600,481.3,481.05,490.5,478.9,486.75,5.45,162000,99000,0.0,0.0,230.61,230.61,113,-11.2
1772618400,468.05,472.7,475.45,468.85,472.95,4.9,157000,67000,0.0,0.0,-3.09,-3.09,-5,-13.8
1772704800,479.5,474.15,486.7,474.15,483.65,4.15,176000,92000,0.0,0.0,12.1,12.1,19,10.7
1772791200,488.2,481.0,503.0,481.0,493.05,4.85,177000,147000,0.0,0.0,0.57,0.57,1,9.4
1773050400,478.9,474.75,484.6,471.05,484.2,5.3,1182000,1103000,0.0,0.0,567.8,567.8,1005,-8.85
1773136800,488.7,489.7,495.8,486.15,494.5,5.8,1177000,98000,0.0,0.0,-0.42,-0.42,-5,10.3
1773223200,488,495.6,501.6,490.25,491.35,3.35,1192000,53000,0.0,0.0,1.27,1.27,15,-3.15
1773309600,518.3,491.2,530.65,489.7,522.5,4.2,1192000,616000,0.0,0.0,0.0,0.0,0,31.15
1773396000,512.95,531.5,534.7,513.0,515.6,2.65,1188000,318000,0.0,0.0,-0.34,-0.34,-4,-6.9
1773655200,505.15,517.45,517.45,500.0,507.75,2.6,1236000,281000,0.0,0.0,4.04,4.04,48,-7.85
1773741600,505.8,506.0,515.25,505.0,509.3,3.5,1269000,157000,0.0,0.0,2.67,2.67,33,1.55
