time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,720.65,740.0,740.0,738.55,738.55,17.9,8000,2000,0.0,0.0,0.0,0.0,0,0.0
1770026400,722.4,730.0,730.0,728.35,728.35,5.95,8000,2000,0.0,0.0,0.0,0.0,0,-10.2
1770112800,732.85,744.0,744.0,744.0,744.0,11.15,9000,1000,0.0,0.0,12.5,12.5,1,15.65
1770199200,733.4,740.35,741.2,738.35,738.35,4.95,9000,4000,0.0,0.0,0.0,0.0,0,-5.65
1770285600,748.3,746.0,754.45,744.85,754.45,6.15,12000,10000,0.0,0.0,33.33,33.33,3,16.1
1770372000,752.75,757.1,757.1,757.1,757.1,4.35,12000,2000,0.0,0.0,0.0,0.0,0,2.65
1770631200,754.85,759.8,761.8,757.75,757.75,2.9,11000,3000,0.0,0.0,-8.33,-8.33,-1,0.65
1770717600,764.85,756.0,763.9,756.0,762.75,-2.1,11000,4000,0.0,0.0,0.0,0.0,0,5.0
1770804000,770.4,775.4,775.4,769.4,769.4,-1.0,12000,2000,0.0,0.0,9.09,9.09,1,6.65
1770890400,770.65,773.95,773.95,773.95,773.95,3.3,13000,1000,0.0,0.0,8.33,8.33,1,4.55
1770976800,760.15,767.05,773.5,764.65,764.65,4.5,17000,16000,0.0,0.0,30.77,30.77,4,-9.3
1771236000,772.85,769.2,777.0,769.2,776.35,3.5,23000,11000,0.0,0.0,35.29,35.29,6,11.7
1771322400,774.6,776.85,780.0,774.95,779.5,4.9,23000,4000,0.0,0.0,0.0,0.0,0,3.15
1771408800,795.95,790.6,799.0,790.6,798.65,2.7,30000,14000,0.0,0.0,30.43,30.43,7,19.15
1771495200,780.15,794.0,794.0,784.5,784.7,4.55,27000,16000,0.0,0.0,-10.0,-10.0,-3,-13.95
1771581600,788.2,788.5,797.1,788.5,791.95,3.75,26000,4000,0.0,0.0,-3.7,-3.7,-1,7.25
1772445600,779.15,780.0,792.65,772.2,785.95,6.8,52000,44000,0.0,0.0,100.0,100.0,26,-6.0
1772618400,771.85,786.25,786.25,775.75,779.75,7.9,60000,48000,0.0,0.0,15.38,15.38,8,-6.2
1772704800,778.85,778.3,788.05,778.3,783.8,4.95,50000,19000,0.0,0.0,-16.67,-16.67,-10,4.05
1772791200,785.25,786.15,790.85,783.4,785.8,0.55,65000,41000,0.0,0.0,30.0,30.0,15,2.0
1773050400,778,776.25,779.5,773.25,777.85,-0.15,77000,35000,0.0,0.0,18.46,18.46,12,-7.95
1773136800,789.9,784.05,791.75,782.2,791.25,1.35,80000,29000,0.0,0.0,3.9,3.9,3,13.4
1773223200,761.6,788.15,788.15,765.4,767.65,6.05,72000,42000,0.0,0.0,-10.0,-10.0,-8,-23.6
1773309600,757.15,758.0,765.5,752.0,759.0,1.85,136000,836000,0.0,0.0,88.89,88.89,64,-8.65
1773396000,752.4,760.05,770.1,756.3,757.05,4.65,134000,114000,0.0,0.0,-1.47,-1.47,-2,-1.95
1773655200,750.1,753.5,758.6,747.5,755.35,5.25,136000,66000,0.0,0.0,1.49,1.49,2,-1.7
1773741600,754.75,753.95,761.95,748.9,760.75,6.0,131000,57000,0.0,0.0,-3.68,-3.68,-5,5.4
