time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,14199,14789.0,15000.0,14372.0,14397.0,198.0,160000,108000,0.0,0.0,0.0,0.0,0,0.0
1770026400,14384,14372.0,14640.0,14278.0,14596.0,212.0,186000,121000,0.0,0.0,16.25,16.25,26,199.0
1770112800,14782,15000.0,15080.0,14690.0,14987.0,205.0,194000,106000,0.0,0.0,4.3,4.3,8,391.0
1770199200,15071,15129.0,15365.0,15069.0,15246.0,175.0,240000,125000,0.0,0.0,23.71,23.71,46,259.0
1770285600,15059,15252.0,15350.0,15115.0,15254.0,195.0,245000,74000,0.0,0.0,2.08,2.08,5,8.0
1770372000,14997,15108.0,15300.0,15100.0,15187.0,190.0,254000,16000,0.0,0.0,3.67,3.67,9,-67.0
1770631200,14978,15216.0,15265.0,15143.0,15170.0,192.0,260000,21000,0.0,0.0,2.36,2.36,6,-17.0
1770717600,15146,15300.0,15561.0,15299.0,15386.0,240.0,284000,69000,0.0,0.0,9.23,9.23,24,216.0
1770804000,15412,15533.0,15650.0,15502.0,15608.0,196.0,296000,46000,0.0,0.0,4.23,4.23,12,222.0
1770890400,15326,15560.0,15625.0,15550.0,15563.0,237.0,299000,26000,0.0,0.0,1.01,1.01,3,-45.0
1770976800,15237,15551.0,15612.0,15439.0,15444.0,207.0,313000,29000,0.0,0.0,4.68,4.68,14,-119.0
1771236000,15051,15444.0,15444.0,15201.0,15272.0,221.0,355000,106000,0.0,0.0,13.42,13.42,42,-172.0
1771322400,15179,15200.0,15386.0,15195.0,15361.0,182.0,365000,23000,0.0,0.0,2.82,2.82,10,89.0
1771408800,15164,15300.0,15394.0,15290.0,15384.0,220.0,373000,35000,0.0,0.0,2.19,2.19,8,23.0
1771495200,14903,15450.0,15459.0,15051.0,15076.0,173.0,386000,53000,0.0,0.0,3.49,3.49,13,-308.0
1771581600,14977,15098.0,15215.0,15000.0,15165.0,188.0,398000,39000,0.0,0.0,3.11,3.11,12,89.0
1772445600,14388,14552.0,14845.0,14358.0,14521.0,133.0,639000,435000,0.0,0.0,60.55,60.55,241,-644.0
1772618400,14158,14414.0,14702.0,13950.0,14272.0,114.0,706000,424000,0.0,0.0,10.49,10.49,67,-249.0
1772704800,14415,14351.0,14640.0,14230.0,14526.0,111.0,765000,369000,0.0,0.0,8.36,8.36,59,254.0
1772791200,14159,14387.0,14560.0,14260.0,14284.0,125.0,786000,231000,0.0,0.0,2.75,2.75,21,-242.0
1773050400,13508,13786.0,13855.0,13500.0,13649.0,141.0,1047000,862000,0.0,0.0,33.21,33.21,261,-635.0
1773136800,13867,13860.0,14045.0,13621.0,14014.0,147.0,1088000,380000,0.0,0.0,3.92,3.92,41,365.0
1773223200,13497,13977.0,14004.0,13550.0,13597.0,100.0,1333000,668000,0.0,0.0,22.52,22.52,245,-417.0
1773309600,13011,13500.0,13501.0,13101.0,13138.0,127.0,1662000,1077000,0.0,0.0,24.68,24.68,329,-459.0
1773396000,12591,13041.0,13129.0,12610.0,12709.0,118.0,2191000,1401000,0.0,0.0,31.83,31.83,529,-429.0
1773655200,12757,12709.0,12959.0,12501.0,12864.0,107.0,2345000,883000,0.0,0.0,7.03,7.03,154,155.0
1773741600,12972,12823.0,13208.0,12800.0,13091.0,119.0,3044000,2001000,0.0,0.0,29.81,29.81,699,227.0
