time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,2769.9,2778.5,2845.6,2778.5,2845.6,75.7,4000,5000,0.0,0.0,0.0,0.0,0,0.0
1770112800,2819.3,2866.0,2868.6,2865.9,2868.6,49.3,4000,3000,0.0,0.0,0.0,0.0,0,23.0
1770199200,2688.1,2711.4,2735.0,2657.7,2731.7,43.6,41000,47000,0.0,0.0,925.0,925.0,37,-136.9
1770285600,2648.7,2713.0,2713.0,2677.0,2691.0,42.3,44000,7000,0.0,0.0,7.32,7.32,3,-40.7
1770372000,2610.5,2680.0,2680.0,2620.0,2640.1,29.6,64000,24000,0.0,0.0,45.45,45.45,20,-50.9
1770631200,2615.1,2660.0,2665.5,2658.1,2658.1,43.0,57000,12000,0.0,0.0,-10.94,-10.94,-7,18.0
1770717600,2614.1,2634.5,2698.7,2634.5,2652.3,38.2,54000,24000,0.0,0.0,-5.26,-5.26,-3,-5.8
1770804000,2588.2,2640.0,2640.0,2590.0,2633.8,45.6,79000,47000,0.0,0.0,46.3,46.3,25,-18.5
1770890400,2464,2577.0,2577.0,2500.0,2501.1,37.1,115000,64000,0.0,0.0,45.57,45.57,36,-132.7
1770976800,2458.4,2445.2,2500.0,2407.1,2484.0,25.6,120000,38000,0.0,0.0,4.35,4.35,5,-17.1
1771236000,2461.5,2480.0,2505.7,2470.6,2494.2,32.7,123000,19000,0.0,0.0,2.5,2.5,3,10.2
1771322400,2465.2,2522.0,2550.0,2489.0,2489.0,23.8,126000,14000,0.0,0.0,2.44,2.44,3,-5.2
1771408800,2435.8,2466.5,2467.1,2430.7,2467.0,31.2,126000,19000,0.0,0.0,0.0,0.0,0,-22.0
1771495200,2376.7,2481.0,2481.0,2400.0,2407.4,30.7,164000,45000,0.0,0.0,30.16,30.16,38,-59.6
1771581600,2373.8,2364.9,2415.8,2364.9,2406.8,33.0,164000,22000,0.0,0.0,0.0,0.0,0,-0.6
1772445600,2255.5,2277.4,2330.0,2263.2,2284.0,28.5,267000,92000,0.0,0.0,62.8,62.8,103,-122.8
1772618400,2267.2,2281.1,2312.0,2274.1,2289.2,22.0,300000,112000,0.0,0.0,12.36,12.36,33,5.2
1772704800,2231.6,2305.0,2305.0,2224.7,2254.2,22.6,322000,151000,0.0,0.0,7.33,7.33,22,-35.0
1772791200,2214.8,2278.9,2307.0,2230.0,2237.2,22.4,333000,49000,0.0,0.0,3.42,3.42,11,-17.0
1773050400,2187.7,2192.1,2220.2,2175.0,2207.2,19.5,340000,83000,0.0,0.0,2.1,2.1,7,-30.0
1773136800,2202.2,2199.7,2247.0,2193.3,2213.1,10.9,469000,2266000,0.0,0.0,37.94,37.94,129,5.9
1773223200,2184.9,2240.0,2245.9,2196.3,2200.1,15.2,465000,95000,0.0,0.0,-0.85,-0.85,-4,-13.0
1773309600,2185.2,2184.4,2237.0,2182.5,2206.4,21.2,459000,83000,0.0,0.0,-1.29,-1.29,-6,6.3
1773396000,2114.8,2159.0,2164.9,2118.2,2129.6,14.8,489000,218000,0.0,0.0,6.54,6.54,30,-76.8
1773655200,2081.1,2130.3,2140.6,2087.3,2098.7,17.6,504000,203000,0.0,0.0,3.07,3.07,15,-30.9
1773741600,2074.1,2086.0,2116.3,2050.5,2091.9,17.8,551000,198000,0.0,0.0,9.33,9.33,47,-6.8
