time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,354.2,363.5,363.5,339.75,352.6,-1.6,153000,237000,0.0,0.0,0.0,0.0,0,0.0
1770026400,369.7,345.8,370.45,344.3,369.35,-0.35,154000,112000,0.0,0.0,0.65,0.65,1,16.75
1770112800,370.85,375.0,377.4,361.5,369.9,-0.95,179000,103000,0.0,0.0,16.23,16.23,25,0.55
1770199200,374.9,372.8,376.2,372.65,374.95,0.05,179000,28000,0.0,0.0,0.0,0.0,0,5.05
1770285600,363.85,359.8,364.9,356.45,363.15,-0.7,191000,66000,0.0,0.0,6.7,6.7,12,-11.8
1770372000,354.65,360.0,361.0,354.0,359.1,4.45,195000,49000,0.0,0.0,2.09,2.09,4,-4.05
1770631200,365.2,365.0,373.65,363.85,369.6,4.4,192000,49000,0.0,0.0,-1.54,-1.54,-3,10.5
1770717600,368.65,371.0,373.2,370.2,372.9,4.25,193000,37000,0.0,0.0,0.52,0.52,1,3.3
1770804000,367.7,372.5,375.4,371.15,372.85,5.15,195000,36000,0.0,0.0,1.04,1.04,2,-0.05
1770890400,369.7,373.55,377.5,372.1,373.75,4.05,201000,34000,0.0,0.0,3.08,3.08,6,0.9
1770976800,349.3,363.35,363.35,353.0,354.45,5.15,218000,85000,0.0,0.0,8.46,8.46,17,-19.3
1771236000,348.4,348.0,353.65,347.55,353.3,4.9,214000,83000,0.0,0.0,-1.83,-1.83,-4,-1.15
1771322400,340.85,347.7,348.15,341.25,345.9,5.05,224000,47000,0.0,0.0,4.67,4.67,10,-7.4
1771408800,344.05,346.5,348.7,345.4,348.6,4.55,243000,37000,0.0,0.0,8.48,8.48,19,2.7
1771495200,340.1,354.55,354.55,343.85,344.55,4.45,267000,59000,0.0,0.0,9.88,9.88,24,-4.05
1771581600,341.2,345.0,346.8,343.45,345.7,4.5,282000,53000,0.0,0.0,5.62,5.62,15,1.15
1772445600,362.85,350.0,366.85,350.0,366.2,3.35,986000,183000,0.0,0.0,249.65,249.65,704,20.5
1772618400,373.5,367.95,380.0,361.4,376.5,3.0,991000,400000,0.0,0.0,0.51,0.51,5,10.3
1772704800,395.95,379.05,406.75,379.05,398.9,2.95,1613000,3440000,0.0,0.0,62.76,62.76,622,22.4
1772791200,396.15,394.8,404.5,389.9,399.25,3.1,1629000,464000,0.0,0.0,0.99,0.99,16,0.35
1773050400,388.1,399.25,401.95,387.5,392.2,4.1,1655000,372000,0.0,0.0,1.6,1.6,26,-7.05
1773136800,388.75,395.45,395.5,384.0,393.45,4.7,1855000,555000,0.0,0.0,12.08,12.08,200,1.25
1773223200,397.75,395.0,406.05,395.0,400.35,2.6,1883000,447000,0.0,0.0,1.51,1.51,28,6.9
1773309600,409.15,404.7,412.2,388.45,411.1,1.95,2004000,706000,0.0,0.0,6.43,6.43,121,10.75
1773396000,387.35,406.1,413.5,383.8,389.15,1.8,1978000,857000,0.0,0.0,-1.3,-1.3,-26,-21.95
1773655200,372.25,386.25,392.0,372.85,375.4,3.15,2001000,592000,0.0,0.0,1.16,1.16,23,-13.75
1773741600,395.15,379.35,398.0,373.85,397.1,1.95,2122000,813000,0.0,0.0,6.05,6.05,121,21.7
