time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,80.38,80.41,84.43,79.61,81.71,1.33,89000,78000,0.0,0.0,0.0,0.0,0,0.0
1770026400,81.44,81.63,83.05,79.51,82.59,1.15,99000,44000,0.0,0.0,11.24,11.24,10,0.88
1770112800,81.65,84.58,84.58,82.44,82.94,1.29,113000,75000,0.0,0.0,14.14,14.14,14,0.35
1770199200,85.88,83.61,87.7,83.61,87.38,1.5,149000,143000,0.0,0.0,31.86,31.86,36,4.44
1770285600,84.6,86.4,86.4,84.72,85.86,1.26,179000,69000,0.0,0.0,20.13,20.13,30,-1.52
1770372000,84.08,85.95,86.02,84.26,85.32,1.24,198000,61000,0.0,0.0,10.61,10.61,19,-0.54
1770631200,84.47,85.41,86.61,84.99,85.68,1.21,209000,40000,0.0,0.0,5.56,5.56,11,0.36
1770717600,85.07,85.01,86.75,85.0,86.3,1.23,215000,69000,0.0,0.0,2.87,2.87,6,0.62
1770804000,85.46,86.49,87.18,85.71,86.88,1.42,237000,105000,0.0,0.0,10.23,10.23,22,0.58
1770890400,84.74,87.1,87.1,85.58,85.98,1.24,287000,118000,0.0,0.0,21.1,21.1,50,-0.9
1770976800,79.43,82.8,83.01,80.2,80.43,1.0,385000,257000,0.0,0.0,34.15,34.15,98,-5.55
1771236000,80.46,79.58,81.78,79.48,81.64,1.18,430000,116000,0.0,0.0,11.69,11.69,45,1.21
1771322400,79.03,80.5,80.76,79.61,80.2,1.17,446000,78000,0.0,0.0,3.72,3.72,16,-1.44
1771408800,80.09,80.25,81.22,80.25,81.2,1.11,444000,53000,0.0,0.0,-0.45,-0.45,-2,1.0
1771495200,79.22,81.79,81.8,79.65,79.93,0.71,528000,132000,0.0,0.0,18.92,18.92,84,-1.27
1771581600,80.13,79.74,81.5,79.55,81.09,0.96,547000,109000,0.0,0.0,3.6,3.6,19,1.16
1772445600,81.26,80.0,83.28,80.0,82.2,0.94,1149000,385000,0.0,0.0,110.05,110.05,602,1.11
1772618400,76.71,80.2,80.2,77.11,77.43,0.72,1185000,284000,0.0,0.0,3.13,3.13,36,-4.77
1772704800,78.44,78.4,80.2,78.11,79.23,0.79,1228000,389000,0.0,0.0,3.63,3.63,43,1.8
1772791200,79.79,79.0,82.72,78.76,80.64,0.85,1504000,647000,0.0,0.0,22.48,22.48,276,1.41
1773050400,79.13,78.9,80.0,77.33,79.82,0.69,1489000,312000,0.0,0.0,-1.0,-1.0,-15,-0.82
1773136800,79.67,81.04,81.07,79.83,80.26,0.59,1498000,127000,0.0,0.0,0.6,0.6,9,0.44
1773223200,79.73,80.8,81.77,80.2,80.23,0.5,1514000,192000,0.0,0.0,1.07,1.07,16,-0.03
1773309600,80.87,79.8,82.33,78.05,81.6,0.73,1796000,685000,0.0,0.0,18.63,18.63,282,1.37
1773396000,78.59,81.7,81.83,78.9,79.18,0.59,3137000,1626000,0.0,0.0,74.67,74.67,1341,-2.42
1773655200,77.56,79.14,79.53,77.31,78.3,0.74,3485000,766000,0.0,0.0,11.09,11.09,348,-0.88
1773741600,79.22,79.1,80.16,77.42,79.79,0.57,3700000,635000,0.0,0.0,6.17,6.17,215,1.49
