time,spot_close,fut_open,fut_high,fut_low,fut_close,bias,oi,fut_volume,bid,ask,oiperct_from_last_day,oiperct_from_last_candle,oi_change,last_price_change
1769940000,1246.3,1341.9,1366.0,1252.9,1260.2,13.9,5000,8000,0.0,0.0,0.0,0.0,0,0.0
1770026400,1283.2,1251.0,1252.2,1251.0,1252.0,-31.2,10000,5000,0.0,0.0,100.0,100.0,5,-8.2
1770112800,1361.5,1368.0,1370.0,1366.0,1370.0,8.5,11000,4000,0.0,0.0,10.0,10.0,1,118.0
1770199200,1391.9,1380.0,1390.0,1370.0,1390.0,-1.9,12000,6000,0.0,0.0,9.09,9.09,1,20.0
1770372000,1354,1348.0,1352.3,1348.0,1352.3,-1.7,12000,2000,0.0,0.0,0.0,0.0,0,-37.7
1770631200,1385.6,1405.0,1406.0,1395.0,1395.0,9.4,14000,7000,0.0,0.0,16.67,16.67,2,42.7
1770717600,1386,1396.0,1406.9,1395.0,1406.9,20.9,16000,4000,0.0,0.0,14.29,14.29,2,11.9
1770804000,1324.2,1358.0,1358.0,1321.0,1330.6,6.4,18000,6000,0.0,0.0,12.5,12.5,2,-76.3
1770890400,1310.5,1329.0,1333.0,1312.0,1314.0,3.5,21000,6000,0.0,0.0,16.67,16.67,3,-16.6
1770976800,1299.7,1298.2,1315.8,1298.0,1315.8,16.1,22000,5000,0.0,0.0,4.76,4.76,1,1.8
1771236000,1287.3,1282.8,1297.2,1260.0,1293.8,6.5,22000,12000,0.0,0.0,0.0,0.0,0,-22.0
1771322400,1290.8,1296.0,1296.0,1288.0,1288.0,-2.8,23000,2000,0.0,0.0,4.55,4.55,1,-5.8
1771408800,1317.2,1309.6,1311.9,1305.5,1308.0,-9.2,28000,14000,0.0,0.0,21.74,21.74,5,20.0
1771581600,1289.8,1300.0,1311.0,1300.0,1305.0,15.2,28000,8000,0.0,0.0,0.0,0.0,0,-3.0
1772445600,1206.5,1235.2,1246.8,1197.7,1218.3,11.8,86000,34000,0.0,0.0,207.14,207.14,58,-86.7
1772618400,1196.5,1202.1,1209.1,1178.2,1190.6,-5.9,189000,245000,0.0,0.0,119.77,119.77,103,-27.7
1772704800,1238.1,1193.0,1235.5,1193.0,1227.7,-10.4,245000,185000,0.0,0.0,29.63,29.63,56,37.1
1772791200,1225.1,1231.2,1252.2,1210.7,1207.5,-17.6,305000,102000,0.0,0.0,24.49,24.49,60,-20.2
1773050400,1208.4,1167.6,1196.5,1165.1,1192.0,-16.4,314000,80000,0.0,0.0,2.95,2.95,9,-15.5
1773136800,1238,1217.0,1235.9,1208.0,1233.4,-4.6,338000,82000,0.0,0.0,7.64,7.64,24,41.4
1773223200,1212.5,1228.9,1229.3,1200.1,1203.1,-9.4,359000,86000,0.0,0.0,6.21,6.21,21,-30.3
1773309600,1183.8,1170.0,1202.8,1168.0,1181.4,-2.4,370000,48000,0.0,0.0,3.06,3.06,11,-21.7
1773396000,1158.6,1180.0,1180.0,1151.6,1151.8,-6.8,400000,85000,0.0,0.0,8.11,8.11,30,-29.6
1773655200,1158.8,1150.0,1162.4,1138.7,1156.4,-2.4,404000,48000,0.0,0.0,1.0,1.0,4,4.6
1773741600,1157.4,1154.0,1168.8,1148.2,1155.8,-1.6,429000,78000,0.0,0.0,6.19,6.19,25,-0.6
